timestamp,x,y,z
1480510090081687,0.625,-0.1875,0.0625
1480510090107255,0.3125,0.0625,0.5
1480510090120791,0.3125,0.375,0.25
1480510090141847,0.625,0.25,0.375
1480510090166414,0.6875,-0.0625,0.25
1480510090180450,0.375,-0.125,0.5625
1480510090232588,-0.0625,-0.1875,0.3125
1480510090233090,0.5625,-0.125,0.0625
1480510090239105,0.3125,-0.3125,-0.3125
1480510090261666,-0.4375,-0.25,-0.0625
1480510090284229,0.0625,0,-0.1875
1480510090306787,0.375,0.0625,-0.25
1480510090329346,0.5625,-0.125,-0.5
1480510090344386,0.0625,0.0625,-0.25
1480510090366946,-0.25,0,-0.375
1480510090389509,-0.1875,0.1875,-0.25
1480510090411565,-0.0625,0.375,-0.4375
1480510090426605,-0.5625,0.3125,-0.4375
1480510090449165,-1.25,0.0625,-0.5
1480510090464206,-0.375,0.3125,-0.8125
1480510090486764,-1.3125,0.125,-1.3125
1480510090509324,-1.75,-0.375,-0.8125
1480510090524365,-3.125,-0.75,-1.3125
1480510090546924,-5.0625,-2.0625,-1.125
1480510090568983,-10.1875,-5.6875,-0.75
1480510090584024,-8.4375,-5.25,0.5
1480510090606584,-10.375,-8.5,1.75
1480510090629145,-6.75,-7.3125,1.0625
1480510090644183,-3.125,-7.125,-0.5625
1480510090666743,-2.25,-4.125,-0.9375
1480510090692311,-3.1875,-2.75,0.4375
1480510090704343,-6.125,-3.1875,1.125
1480510090726903,-3,-4.0625,-0.4375
1480510090756984,-0.1875,-3.0625,-1.4375
1480510090767010,-0.75,-1.75,-1.8125
1480510090786562,-2.5,-0.4375,-1.375
1480510090809122,-1.1875,0.9375,-0.875
1480510090824162,-0.9375,2.75,-0.4375
1480510090846722,-0.125,4.25,-0.25
1480510090869282,1.0625,4,0.5
1480510090891842,0.625,3,0.4375
1480510090909388,0.0625,2.625,0.0625
1480510090928940,-0.125,2.3125,-0.625
1480510090951502,0.3125,2.0625,-0.875
1480510090968044,-0.9375,1.8125,0.0625
1480510090989101,-3.0625,0.5625,0.75
1480510091011661,-0.125,-0.5625,0.25
1480510091026701,0.875,-1.3125,0
1480510091049263,0.5,-1.875,-0.3125
1480510091071826,0.5625,-2.625,-1.25
1480510091086866,3,-2.4375,-2.1875
1480510091108924,3.125,-2.625,-2
1480510091131485,0.9375,-3.4375,-1.0625
1480510091146524,0.875,-3.8125,-0.125
1480510091169085,1.5,-2.5625,1.5
1480510091191644,1.9375,-0.3125,3.4375
1480510091217213,1.6875,1.4375,4.8125
1480510091236764,2.1875,1.5625,4.6875
1480510091253308,3.6875,2.875,3.8125
1480510091274364,5.0625,3.8125,2.5625
1480510091289405,4.4375,4.0625,1.9375
1480510091311463,3.8125,3.125,1.1875
1480510091334025,3.4375,2.25,0.875
1480510091356583,3.6875,2.5625,1.3125
1480510091371624,2.25,2.5,2.3125
1480510091394184,1.4375,2,1.75
1480510091416744,0.4375,1.6875,1.1875
1480510091447826,1.75,0.875,0.5
1480510091454344,0.5,0.25,0.375
1480510091476401,-0.75,-0.875,-0.0625
1480510091491442,-0.375,-1.6875,0.0625
1480510091514002,0.25,-1.375,0.75
1480510091536562,-0.8125,-0.4375,1.125
1480510091559122,-1.4375,-0.0625,1
1480510091574162,0.0625,0.25,1.1875
1480510091596722,-1.3125,0.5,1.0625
1480510091611762,-3,1,0.8125
1480510091634322,-1.8125,1.9375,0.1875
1480510091656882,-2.1875,1.1875,0.5625
1480510091671922,-1.9375,1,-0.3125
1480510091693981,-1.0625,1.5,-1
1480510091716541,0.1875,2.125,-0.8125
1480510091731581,1.3125,1.9375,-0.75
1480510091754147,0.3125,1.3125,0.4375
1480510091776701,0.625,0.4375,0.1875
1480510091791749,0.9375,-0.625,-0.25
1480510091814317,0.8125,-1.0625,0.0625
1480510091836860,1,-0.875,0.75
1480510091851402,-0.6875,-0.5625,0.6875
1480510091874460,1.9375,-0.9375,-0.125
1480510091896519,0.875,-0.375,-0.0625
1480510091911559,-0.6875,-0.625,0.4375
1480510091934120,-0.5,-0.375,0.125
1480510091956679,0.0625,-0.25,0
1480510091971719,0.25,0.0625,-0.4375
1480510091994280,-0.9375,-0.1875,-0.4375
1480510092018345,-1.125,-0.125,-0.5625
1480510092031882,0,-0.25,-0.8125
1480510092053943,-0.4375,0,-1
