timestamp,x,y,z,w
1480509454987397,0.0211792,-0.478027,0.74231,0.468994
1480509455002447,0.0214233,-0.477539,0.742615,0.468994
1480509455027003,0.0214844,-0.477478,0.742615,0.469055
1480509455047058,0.0214844,-0.477417,0.742554,0.469238
1480509455062098,0.0214844,-0.477417,0.742432,0.469421
1480509455116742,0.0215454,-0.477661,0.742188,0.469543
1480509455118747,0.0215454,-0.477661,0.742188,0.469543
1480509455122256,0.0216675,-0.477417,0.742371,0.469543
1480509455145821,0.0217896,-0.477173,0.742493,0.469543
1480509455167376,0.0217896,-0.477173,0.742493,0.469543
1480509455205478,0.0220337,-0.477234,0.742554,0.469421
1480509455205979,0.0222778,-0.477051,0.742737,0.469238
1480509455228543,0.0222168,-0.477051,0.74292,0.468994
1480509455243579,0.0222778,-0.477051,0.74292,0.468994
1480509455264636,0.0222168,-0.477112,0.74292,0.468994
1480509455289702,0.0223389,-0.477051,0.742981,0.468872
1480509455340336,0.0223389,-0.477051,0.742981,0.468872
1480509455340838,0.0222778,-0.477051,0.743042,0.468811
1480509455346855,0.0222778,-0.477051,0.743042,0.468811
1480509455361896,0.0222778,-0.47699,0.743042,0.468872
1480509455384454,0.0220337,-0.477234,0.74292,0.468872
1480509455414534,0.0219116,-0.477478,0.742737,0.468872
1480509455437596,0.0216064,-0.477783,0.742554,0.468811
1480509455452134,0.0210571,-0.47821,0.74231,0.46875
1480509455476223,0.0206909,-0.47876,0.742065,0.468689
1480509455497256,0.0204468,-0.479309,0.741821,0.468445
1480509455512296,0.0200195,-0.479797,0.741638,0.468323
1480509455534353,0.0194702,-0.480347,0.741272,0.468323
1480509455556921,0.0186768,-0.481201,0.741028,0.467957
1480509455571954,0.0181885,-0.481873,0.740723,0.467712
1480509455594520,0.0180664,-0.482239,0.74054,0.46759
1480509455617072,0.0180664,-0.482239,0.74054,0.46759
1480509455632113,0.0178223,-0.482422,0.740417,0.467651
1480509455654674,0.017395,-0.482788,0.740173,0.467651
1480509455677233,0.0170288,-0.483215,0.740051,0.467407
1480509455691773,0.0170288,-0.483215,0.740051,0.467407
1480509455723356,0.0171509,-0.483215,0.740173,0.467285
1480509455736892,0.0170288,-0.483337,0.740112,0.467163
1480509455754939,0.0169678,-0.483643,0.73999,0.467163
1480509455774491,0.0168457,-0.484131,0.739685,0.467041
1480509455797052,0.0168457,-0.484131,0.739685,0.467041
1480509455813595,0.0168457,-0.484131,0.739685,0.467041
1480509455834651,0.0168457,-0.484131,0.739685,0.467041
1480509455857216,0.0166626,-0.484375,0.739502,0.467102
1480509455871750,0.0167236,-0.484802,0.739197,0.467102
1480509455894310,0.0167236,-0.484863,0.739197,0.467102
1480509455925894,0.0168457,-0.484924,0.739258,0.466919
1480509455931910,0.0168457,-0.484924,0.739258,0.466919
1480509455954491,0.0168457,-0.484924,0.739258,0.466919
1480509455961990,0.0168457,-0.484924,0.739258,0.46698
1480509455985552,0.0168457,-0.484924,0.739258,0.46698
1480509456008113,0.0168457,-0.484924,0.739258,0.46698
1480509456030673,0.0168457,-0.485107,0.739075,0.467041
1480509456060753,0.0164185,-0.485474,0.738831,0.467102
1480509456068272,0.0159912,-0.485901,0.738403,0.467285
1480509456091335,0.015564,-0.486328,0.738098,0.467407
1480509456105873,0.0151367,-0.486572,0.737976,0.467285
1480509456128436,0.0148926,-0.486816,0.737915,0.467163
1480509456141969,0.0145874,-0.487183,0.737793,0.467041
1480509456166035,0.0142212,-0.487549,0.73761,0.466919
1480509456188091,0.0140991,-0.487671,0.737488,0.466919
1480509456210652,0.0140991,-0.487732,0.737488,0.466919
1480509456225691,0.013916,-0.488098,0.737244,0.466919
1480509456248251,0.0137939,-0.488403,0.737,0.46698
1480509456269809,0.0134888,-0.488586,0.736877,0.466919
1480509456285851,0.0133057,-0.488708,0.736938,0.466736
1480509456306908,0.0131836,-0.488831,0.736816,0.466797
1480509456338492,0.0129395,-0.489319,0.736572,0.466736
1480509456344508,0.0126953,-0.489563,0.73645,0.466675
1480509456367068,0.0127563,-0.489563,0.73645,0.466675
1480509456390630,0.0125122,-0.489807,0.736328,0.466553
1480509456404667,0.0124512,-0.489929,0.736267,0.466553
1480509456427228,0.012146,-0.490112,0.736023,0.466797
1480509456450791,0.0115967,-0.490662,0.735596,0.466858
1480509456464326,0.0113525,-0.491028,0.735291,0.466919
1480509456487388,0.0111084,-0.491638,0.734924,0.466858
1480509456510449,0.0108643,-0.492126,0.734497,0.467041
1480509456524486,0.0108643,-0.492737,0.734131,0.467041
1480509456547046,0.0111084,-0.494141,0.733093,0.467163
1480509456570609,0.0110474,-0.496338,0.731567,0.467285
1480509456585148,0.0109863,-0.498657,0.730164,0.46698
1480509456615729,0.0109863,-0.499695,0.729675,0.466553
1480509456630769,0.0115356,-0.499817,0.729797,0.466309
1480509456645809,0.0116577,-0.499878,0.729797,0.466187
1480509456675889,0.0111694,-0.500366,0.729553,0.466125
1480509456690929,0.0109863,-0.500793,0.729248,0.466125
1480509456704465,0.0108643,-0.501038,0.729126,0.466064
1480509456727025,0.0106812,-0.500977,0.729309,0.46582
1480509456750588,0.0106812,-0.500977,0.729309,0.465881
1480509456764626,0.0102539,-0.500916,0.72937,0.46582
1480509456787185,0.0103149,-0.500488,0.729431,0.466125
1480509456810748,0.0102539,-0.500793,0.728821,0.466858
1480509456824284,0.00970459,-0.501282,0.728149,0.467285
1480509456855868,0.00921631,-0.501648,0.727844,0.467407
1480509456870406,0.00927734,-0.501709,0.727844,0.467407
1480509456893495,0.00915527,-0.501526,0.728027,0.467346
1480509456907003,0.0090332,-0.501587,0.727905,0.467407
1480509456931068,0.00946045,-0.501038,0.728516,0.46698
1480509456960647,0.00939941,-0.500244,0.728943,0.467224
1480509456967164,0.00939941,-0.500122,0.72876,0.46759
1480509456990726,0.0090332,-0.500488,0.728516,0.467651
1480509457004262,0.0090332,-0.500244,0.728577,0.467773
1480509457027325,0.00933838,-0.499817,0.728821,0.467834
1480509457050886,0.0088501,-0.499634,0.728943,0.467896
1480509457064424,0.00823975,-0.49939,0.729004,0.467957
1480509457086982,0.00793457,-0.498779,0.729248,0.468323
1480509457111048,0.0078125,-0.497986,0.729675,0.468445
1480509457124583,0.00811768,-0.497009,0.730286,0.468567
1480509457147142,0.00878906,-0.49585,0.731018,0.468628
1480509457173714,0.00939941,-0.49469,0.731873,0.468567
1480509457184743,0.010498,-0.493225,0.73291,0.468445
1480509457206815,0.0120239,-0.49115,0.734436,0.46814
1480509457230875,0.0134277,-0.48877,0.736206,0.467896
1480509457244402,0.0148315,-0.486755,0.737488,0.467834
1480509457266961,0.0158081,-0.485596,0.738403,0.467651
1480509457298547,0.0164185,-0.484619,0.739136,0.467529
1480509457304561,0.017334,-0.484131,0.739258,0.467651
1480509457327122,0.017395,-0.484497,0.738953,0.467834
1480509457350684,0.0171509,-0.485107,0.738586,0.467712
1480509457364721,0.0178223,-0.485046,0.73877,0.46759
1480509457386781,0.0178833,-0.486389,0.73822,0.467041
1480509457411346,0.0184326,-0.487427,0.737976,0.466309
1480509457424382,0.0185547,-0.488586,0.73822,0.464661
1480509457446940,0.019104,-0.488342,0.739319,0.463196
1480509457478526,0.020874,-0.486206,0.740356,0.463684
1480509457484540,0.0217285,-0.48584,0.73999,0.4646
1480509457507101,0.0215454,-0.487183,0.73877,0.465149
1480509457529660,0.0212402,-0.488159,0.738098,0.465271
1480509457544703,0.0213623,-0.488708,0.737854,0.465088
1480509457566759,0.0227051,-0.488525,0.738098,0.464783
1480509457589319,0.0236816,-0.488647,0.738342,0.464172
1480509457607368,0.024292,-0.48938,0.738159,0.463684
1480509457626919,0.0249634,-0.489258,0.738525,0.463196
1480509457658502,0.0256348,-0.488953,0.738647,0.463257
1480509457664520,0.0256958,-0.489685,0.738098,0.463379
1480509457687581,0.0256958,-0.490112,0.737793,0.463318
1480509457709639,0.026001,-0.490173,0.737671,0.463501
1480509457733202,0.0263062,-0.491028,0.737,0.463745
1480509457755761,0.0268555,-0.49115,0.736816,0.463806
1480509457769298,0.0274658,-0.490845,0.736877,0.463989
1480509457793362,0.0280762,-0.490601,0.736755,0.464355
1480509457806898,0.0283813,-0.490173,0.736572,0.465149
1480509457829458,0.0275269,-0.490112,0.736206,0.46582
1480509457853521,0.0263062,-0.491516,0.734985,0.46637
1480509457867058,0.0252686,-0.492737,0.733887,0.466797
1480509457889617,0.0238037,-0.492981,0.733521,0.467224
1480509457916189,0.0236816,-0.492004,0.734131,0.467346
1480509457927218,0.024231,-0.490662,0.734558,0.468079
1480509457949276,0.0230103,-0.492126,0.733582,0.468018
1480509457973841,0.0229492,-0.493347,0.732849,0.467957
1480509457986876,0.0231934,-0.492981,0.732788,0.468323
1480509458009436,0.0232544,-0.492493,0.733154,0.468323
1480509458033500,0.0232544,-0.491943,0.733582,0.468201
1480509458047036,0.0232544,-0.492188,0.733459,0.468262
1480509458069596,0.0231323,-0.492249,0.733154,0.468628
1480509458093160,0.0234375,-0.491516,0.733276,0.469238
1480509458107196,0.0234985,-0.490906,0.733093,0.470032
1480509458129255,0.0227051,-0.491272,0.732117,0.471191
1480509458153319,0.0209351,-0.492126,0.731018,0.472229
1480509458166855,0.0194702,-0.492493,0.730286,0.473022
1480509458189415,0.0189209,-0.491943,0.730225,0.473694
1480509458220999,0.0187378,-0.491455,0.730347,0.473999
1480509458227016,0.0186768,-0.491455,0.730347,0.473999
1480509458249577,0.0183105,-0.49176,0.730286,0.473816
1480509458273143,0.0179443,-0.492126,0.730103,0.473694
1480509458287175,0.0178833,-0.492188,0.730103,0.473633
1480509458309735,0.0178833,-0.491821,0.730164,0.473938
1480509458333299,0.0180054,-0.491089,0.730042,0.474854
1480509458355858,0.0181885,-0.490356,0.72998,0.475647
1480509458369396,0.0181885,-0.490356,0.72998,0.475647
