timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1480533657170667,3,8,21,8,5,3,2,4
1480533657170667,11,15,21,15,24,17,13,9
1480533657171670,-4,-2,20,4,-14,-9,-5,-5
1480533657171670,11,20,21,33,17,10,7,10
1480533657174678,-7,-21,-76,-30,-15,-4,-4,-4
1480533657174678,-12,-16,17,33,-12,-17,-11,-11
1480533657175179,6,12,-2,5,15,11,9,8
1480533657175179,7,7,-32,-19,12,10,6,6
1480533657182699,-12,-12,30,-29,-23,-13,-11,-11
1480533657182699,8,12,6,-14,3,3,3,6
1480533657189219,-12,-20,-69,-42,-14,-14,-10,-7
1480533657189219,-17,-34,-91,-16,-11,-17,-15,-13
1480533657212277,8,22,89,5,11,9,7,6
1480533657212277,-7,-6,10,7,-4,-9,-8,-5
1480533657212779,0,9,37,-15,2,3,2,-1
1480533657212779,8,6,-51,-75,2,10,7,6
1480533657226315,-4,-3,19,52,4,-6,-5,-3
1480533657226315,-5,-13,-64,-16,-9,-4,-3,-5
1480533657242859,31,50,90,45,31,23,16,16
1480533657242859,-31,-41,-4,-22,-52,-31,-22,-23
1480533657244363,1,0,-29,15,8,3,1,2
1480533657244363,-10,-18,-29,-29,-5,0,-3,-5
1480533657248875,8,11,11,31,20,14,8,8
1480533657248875,-4,-8,13,8,-8,-7,-5,-5
1480533657265419,11,20,45,16,9,5,5,5
1480533657265419,-3,-8,23,10,-7,-5,-5,-4
1480533657271435,-14,-29,-25,-9,-12,-8,-7,-8
1480533657271435,7,18,86,41,8,5,4,5
1480533657280459,-7,-16,2,24,-18,-10,-7,-6
1480533657280459,8,20,-7,7,15,11,8,6
1480533657293994,-7,-17,-76,-47,-17,-10,-7,-5
1480533657293994,-10,-21,-25,-1,-17,-6,-2,-7
1480533657303019,9,5,-65,-25,20,11,6,9
1480533657303019,11,13,-62,5,10,11,10,7
1480533657309035,-5,-11,-32,-19,-8,-8,-6,-4
1480533657309035,16,30,-10,38,33,17,10,8
1480533657325579,10,2,4,-6,12,9,7,7
1480533657325579,-6,-6,20,-12,-16,-7,-8,-6
1480533657331595,11,12,-16,22,19,14,9,9
1480533657331595,11,14,11,27,22,9,9,8
1480533657341621,5,5,-15,12,10,11,9,5
1480533657341621,5,30,123,61,-3,-8,-5,-2
1480533657354155,-18,-25,114,48,-23,-19,-15,-14
1480533657354155,-9,-17,-1,-49,-18,-5,-3,-5
1480533657362677,-2,-10,21,27,7,0,-1,-2
1480533657362677,-2,-5,-6,-36,-4,-1,-1,1
1480533657377216,-13,-18,108,4,-7,-10,-13,-11
1480533657377216,-2,2,-37,-41,-5,-3,-1,1
1480533657385237,4,11,45,-10,-2,-3,1,3
1480533657385237,3,-5,-76,-24,11,8,2,5
1480533657391253,10,21,25,24,7,3,7,2
1480533657391253,-21,-23,22,-33,-25,-15,-13,-14
1480533657406295,3,6,-32,-6,4,-2,-2,0
1480533657406295,6,10,38,15,7,7,6,4
1480533657413813,4,0,-44,-44,-1,3,1,2
1480533657413813,27,43,52,49,35,28,19,20
1480533657422839,-38,-48,38,22,-53,-37,-26,-26
1480533657422839,-3,3,54,2,-3,-5,-2,-2
1480533657436373,8,3,-68,-4,23,18,11,10
1480533657436373,2,-4,-16,19,2,4,6,1
1480533657445397,-5,-9,23,-26,-5,-5,-6,-5
1480533657445397,-1,-3,17,36,-2,-1,1,0
1480533657451413,-2,0,-14,-25,-8,-4,-1,-3
1480533657451413,6,13,47,40,17,4,-1,1
1480533657460437,-7,1,64,8,-15,-4,-5,-5
1480533657460437,-10,-20,-44,-26,-17,-5,-5,-6
1480533657473979,15,29,-3,45,20,9,11,11
1480533657473979,-7,-6,7,-17,-13,-12,-10,-8
1480533657482997,13,20,3,11,11,11,10,8
1480533657482997,14,21,-7,11,26,21,12,9
1480533657496533,-10,-8,-9,-1,-19,-12,-10,-10
1480533657496533,-15,-21,59,-6,-30,-24,-16,-12
1480533657505559,5,10,-56,7,15,10,6,6
1480533657505559,14,25,-24,-12,10,12,11,10
1480533657511588,-4,0,41,-10,-7,-6,-5,-4
1480533657511588,6,4,10,-7,9,9,5,6
1480533657528117,9,25,32,7,11,7,10,1
1480533657528117,-18,-27,59,-33,-31,-29,-20,-16
1480533657557699,-1,-4,-55,3,-1,-2,2,-1
1480533657557699,13,22,17,10,28,20,10,10
1480533657566720,0,-1,19,-19,-5,-3,-2,-2
1480533657566720,4,10,32,1,5,2,1,3
1480533657572235,2,-3,-9,-19,2,1,1,0
1480533657572235,-8,-12,10,-14,-11,-7,-4,-5
1480533657572737,-11,-15,-32,-37,-19,-11,-9,-10
1480533657572737,-2,-4,11,25,5,0,0,-2
1480533657588278,1,8,-55,-39,3,2,0,3
1480533657588278,-10,-13,-27,-9,-18,-13,-7,-7
1480533657603819,4,5,-17,-10,14,11,5,5
1480533657603819,15,20,-70,-27,9,5,5,9
1480533657604321,-14,-14,58,78,-19,-17,-12,-13
1480533657604321,5,6,-24,10,11,5,4,2
1480533657605828,-8,-11,-27,-29,-15,-7,-5,-3
1480533657605828,-8,-8,-14,29,5,-5,-4,-3
1480533657625376,1,-2,0,6,8,8,4,5
1480533657625376,-2,2,24,9,-7,-4,-3,-4
1480533657626880,-3,-3,47,27,-1,-7,-4,-2
1480533657626880,-3,-5,-1,-17,-3,0,1,-3
1480533657655457,-1,2,85,34,7,8,1,-8
1480533657655457,-9,-21,-16,-21,-13,-9,-7,-5
1480533657656964,12,16,46,15,16,5,5,10
1480533657656964,-26,-54,-85,-57,-20,-11,-5,-9
1480533657662977,7,9,41,51,10,6,8,8
1480533657662977,-9,-9,-34,-15,5,2,2,-1
1480533657664481,1,-5,-72,-4,9,11,8,4
1480533657664481,-3,-9,-53,1,-5,-3,-2,-1
1480533657686037,-8,-16,5,1,1,1,-3,-3
1480533657686037,12,22,53,36,13,9,8,10
1480533657687541,-16,-29,24,-8,-14,-11,-10,-11
1480533657687541,9,17,65,11,3,1,1,6
1480533657708100,1,4,-5,-17,2,0,0,-1
1480533657708100,7,-8,-10,16,11,6,3,11
1480533657714112,-15,-6,46,-1,-17,-17,-12,-11
1480533657714112,25,43,69,16,31,26,18,19
1480533657723138,-46,-54,35,-10,-68,-46,-34,-43
1480533657723138,22,32,-10,3,22,13,9,8
1480533657724645,7,13,-6,-6,8,10,6,8
1480533657724645,-9,-15,-12,9,2,1,-2,-6
1480533657745194,-4,-16,-110,-100,-10,-6,-2,6
1480533657745194,1,4,-22,29,2,3,2,-1
1480533657746705,-8,-9,6,-29,-13,-5,-3,-5
1480533657746705,10,14,26,16,15,7,3,5
1480533657767755,3,0,33,-4,-9,-1,-1,5
1480533657767755,-4,-13,29,33,8,3,-1,-5
1480533657775274,14,17,-4,31,16,14,12,11
1480533657775274,0,1,-11,-12,-4,-2,-1,-2
1480533657782795,9,18,-16,-11,17,11,7,8
1480533657782795,4,22,53,-8,-8,-3,-3,3
1480533657784299,11,15,-7,-4,18,12,9,6
1480533657784299,-6,-8,3,-8,-16,-8,-7,-9
1480533657805356,20,29,4,40,29,17,12,11
1480533657805356,-12,-15,93,26,-20,-14,-8,-10
1480533657806866,0,-8,-68,-2,3,-3,-3,-4
1480533657806866,-16,-9,87,-5,-23,-16,-10,-7
1480533657828419,7,12,-47,-18,8,7,7,5
1480533657828419,7,18,47,11,3,2,3,3
1480533657850976,2,-3,-26,-24,-5,-1,-1,1
1480533657850976,-9,-9,56,27,-10,-10,-7,-10
1480533657851477,6,6,36,34,7,0,-5,2
1480533657851477,-6,-4,-68,-55,-14,-10,-7,-8
1480533657853483,12,26,28,46,19,12,7,5
1480533657853483,-19,-30,-34,-22,-22,-16,-15,-12
1480533657865516,-8,-11,-26,-40,-2,2,3,0
1480533657865516,0,-1,-14,4,5,3,1,-3
1480533657867019,9,20,48,-12,3,3,4,6
1480533657867019,-11,-23,-21,-26,-17,-13,-9,-8
1480533657887574,6,7,-19,-11,1,0,0,5
1480533657887574,-7,-32,-90,-21,3,3,-1,-1
1480533657889580,-11,-9,21,-18,-14,-13,-8,-10
1480533657889580,-2,-18,-50,-7,-7,-1,-1,4
1480533657902112,-8,-12,-24,-24,-9,-7,-5,-13
1480533657902112,12,25,-23,-6,14,13,11,14
1480533657909131,3,3,-6,13,2,3,1,2
1480533657909131,-3,-7,-29,-18,0,0,1,-2
1480533657925174,9,12,34,29,11,8,4,8
1480533657925174,-11,-10,5,-3,-9,-8,-7,-8
1480533657927680,-1,-4,-79,-9,0,3,1,1
1480533657927680,-6,-5,-24,-15,-7,-8,-4,-3
1480533657948736,1,2,54,12,8,3,3,-1
1480533657948736,-1,-6,-9,-22,-6,-2,-1,1
1480533657963275,-9,-14,42,13,-10,-9,-6,-6
1480533657963275,1,-11,-90,-32,2,5,2,0
1480533657963776,2,17,102,47,-1,0,1,0
1480533657963776,-21,-35,-11,-39,-27,-21,-15,-16
1480533657971297,1,0,18,27,5,2,0,0
1480533657971297,10,29,77,20,19,14,10,8
1480533657985334,-1,-8,-37,-44,-6,2,2,0
1480533657985334,1,1,3,6,-3,-1,-3,0
1480533657987841,-5,-9,-16,-12,-6,-3,-2,-2
1480533657987841,7,8,11,0,2,1,2,1
1480533658007894,-5,-2,19,3,-8,-5,-2,7
1480533658007894,8,13,33,3,13,3,1,-7
1480533658009398,-10,-20,-46,-37,-9,-7,-3,-4
1480533658009398,10,21,-50,-1,16,12,10,10
1480533658021933,-5,-6,47,-1,-13,-12,-9,-4
1480533658021933,13,15,-66,-5,5,11,9,12
1480533658028949,-3,7,86,37,-3,-7,-4,-4
1480533658028949,-2,0,43,44,9,1,1,0
1480533658054017,-5,-5,-14,-4,-5,-4,-5,-8
1480533658054017,4,8,30,3,2,4,4,3
1480533658055523,5,1,-14,3,3,5,2,3
1480533658055523,-8,-11,-12,-21,-19,-10,-9,-10
1480533658084096,4,-3,-22,-11,5,4,2,2
1480533658084096,-11,-8,-50,-7,-11,-10,-5,-8
1480533658085601,4,-3,8,-12,-1,-2,-1,2
1480533658085601,-2,-6,17,-4,-7,-3,-1,-3
1480533658086603,6,7,7,8,11,8,5,3
1480533658086603,-10,-14,-16,-35,-21,-15,-7,-7
1480533658098134,10,16,27,35,13,7,7,6
1480533658098134,3,0,40,35,8,5,1,3
1480533658105152,5,6,-31,-9,5,3,4,2
1480533658105152,-15,-21,73,11,-14,-7,-5,-2
1480533658107162,-1,1,5,7,-1,-4,-2,-3
1480533658107162,7,16,30,3,9,8,4,3
1480533658127712,3,4,-13,0,-1,0,-1,2
1480533658127712,7,6,-22,5,15,8,7,6
1480533658130219,-4,-1,-15,-55,-13,-5,-7,-5
1480533658130219,-4,-6,-19,-22,-6,-5,-3,-5
1480533658157794,0,4,1,24,0,0,2,-2
1480533658157794,9,21,39,-21,-2,2,2,5
1480533658159297,0,-9,30,-11,0,1,-1,0
1480533658159297,0,10,75,59,-4,-7,-5,-1
1480533658172834,-7,-8,-39,-6,-4,-5,-1,-2
1480533658172834,9,15,48,20,4,6,2,2
1480533658174339,-6,-14,-66,-28,-2,-1,-2,-4
1480533658174339,17,24,55,32,12,9,4,9
1480533658187872,-14,-15,28,-12,-19,-15,-12,-15
1480533658187872,7,12,33,27,9,1,-2,3
1480533658193889,-5,-6,-3,-24,-13,-5,-1,-3
1480533658193889,-12,-23,-97,-44,-8,-7,-6,-8
1480533658210435,3,7,-7,6,6,3,1,5
1480533658210435,0,1,-44,-3,8,6,3,1
1480533658211937,-5,-6,6,23,-6,-5,-7,-5
1480533658211937,2,5,-22,-30,0,0,-1,1
1480533658233494,11,13,-4,-7,5,6,8,4
1480533658233494,-14,-22,-41,-10,-6,-7,-4,-6
1480533658234998,4,7,16,29,9,2,2,4
1480533658234998,4,11,28,3,8,5,3,4
1480533658247030,-21,-43,-57,-48,-32,-17,-13,-12
1480533658247030,-3,-5,34,20,0,-3,-1,-2
1480533658254049,3,0,7,-2,1,1,0,3
1480533658254049,0,6,-41,4,11,7,2,3
1480533658270091,2,7,23,-10,2,4,0,0
1480533658270091,-8,-13,-49,-16,-12,-10,-7,-8
1480533658272098,-1,-2,1,10,13,6,4,3
1480533658272098,-22,-40,-45,-52,-43,-27,-18,-17
1480533658292651,0,0,-2,19,9,2,0,0
1480533658292651,3,1,15,22,5,6,3,4
1480533658294155,4,7,7,1,8,9,7,6
1480533658294155,-2,-3,-4,-4,-3,-4,1,1
1480533658307691,-9,-19,-66,6,3,0,1,0
1480533658307691,0,4,8,-1,-1,0,-2,0
1480533658313707,6,7,-26,-9,4,5,2,2
1480533658313707,-5,1,57,38,5,2,3,0
1480533658330251,8,7,-32,-18,5,3,-1,4
