timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1480627869968791,0,0,2,2,1,-1,-1,0
1480627869968791,-3,-5,1,2,0,1,0,1
1480627869983832,-2,-3,6,2,-2,-1,0,0
1480627869983832,-2,-4,-5,-2,-1,1,1,1
1480627869984836,1,0,-3,-1,-1,1,0,0
1480627869984836,-2,-4,9,2,2,0,1,0
1480627870007896,-4,-17,-34,-7,-2,-2,-4,-3
1480627870007896,0,7,10,2,3,2,1,1
1480627870008397,-3,-7,-1,1,-1,0,0,-1
1480627870008397,-1,2,-4,-2,-1,0,0,0
1480627870020931,0,-7,-2,0,-2,0,0,1
1480627870020931,-2,-7,-2,1,0,0,-1,-2
1480627870028951,4,5,-2,-3,-1,-2,-2,-1
1480627870028951,3,18,-5,-2,-2,0,0,-2
1480627870043991,-1,-1,10,4,-1,-2,-1,1
1480627870043991,1,10,-5,-2,-3,-1,-1,-1
1480627870044493,-2,-10,3,0,0,-1,0,-1
1480627870044493,-2,-2,1,-1,-1,-1,0,-2
1480627870066050,1,-1,5,-1,1,0,-1,2
1480627870066050,2,13,24,5,4,3,3,4
1480627870067053,-1,1,-6,-3,-1,-1,1,-1
1480627870067053,-3,-13,-11,-2,-3,-2,-2,-2
1480627870083096,-1,7,-4,0,-1,0,-2,-1
1480627870083096,-4,-12,-5,-1,-1,0,-1,0
1480627870088611,-3,0,0,-1,-2,-2,0,0
1480627870088611,2,3,6,0,-2,1,0,1
1480627870103655,2,8,6,1,1,0,0,-1
1480627870103655,-2,-8,-7,-1,-1,-1,-3,-1
1480627870111170,-1,0,1,1,0,-1,-2,-1
1480627870111170,1,1,0,0,-2,-1,-1,-1
1480627870127213,7,19,-4,-3,-2,-3,0,-1
1480627870127213,-2,-1,-2,-2,-1,-3,-2,1
1480627870133730,0,4,-6,-1,0,2,0,-2
1480627870133730,-2,-4,3,1,0,-2,0,-1
1480627870140749,0,2,5,1,1,3,0,1
1480627870140749,1,3,-3,-2,-2,-1,0,0
1480627870148770,-4,-5,-1,-2,-1,2,-1,0
1480627870148770,1,10,-18,-6,-3,-3,-4,-3
1480627870172339,4,15,30,9,2,3,4,1
1480627870172339,0,6,-7,-2,-3,-3,-1,-4
1480627870173342,0,-4,4,0,-2,-2,-1,-2
1480627870173342,-4,-4,-4,-2,0,0,0,-1
1480627870194391,-2,-11,-3,1,1,-2,-1,-2
1480627870194391,-1,-6,-4,-2,-1,1,-1,0
1480627870195394,5,9,3,0,1,0,-2,0
1480627870195394,-1,-3,7,3,3,2,3,1
1480627870200909,-1,-4,-6,-4,-1,-2,1,-2
1480627870200909,0,-2,2,-1,-1,-2,0,0
1480627870216951,2,4,-5,-1,-1,-1,-3,-2
1480627870216951,-2,-17,12,3,1,1,0,1
1480627870225474,-5,-10,-4,-3,1,-1,-2,0
1480627870225474,-1,-6,-9,-2,-3,-1,-1,-1
1480627870225975,2,5,2,-1,0,-2,1,-1
1480627870225975,1,0,2,0,0,1,1,1
1480627870247034,4,26,48,10,4,5,3,5
1480627870247034,-3,-15,4,1,2,0,0,1
1480627870247533,-2,0,-7,-3,-1,0,-1,-1
1480627870247533,2,9,0,-2,0,-1,-1,1
1480627870276109,-2,-15,-15,-4,-2,-3,-1,-2
1480627870276109,2,7,-1,-3,0,-1,-1,0
1480627870285134,-5,-9,3,1,0,2,0,2
1480627870285134,1,3,-2,-1,1,0,0,-2
1480627870287143,-4,-7,-10,-3,-4,-3,-3,-2
1480627870287143,1,0,-1,-1,0,0,0,-1
1480627870287643,0,3,-11,-3,-1,-2,1,-2
