timestamp,x,y,z
1480627420002388,0.824707,-0.444336,0.338379
1480627420040994,0.824707,-0.432129,0.337402
1480627420060542,0.824707,-0.434082,0.335449
1480627420072077,0.830566,-0.432129,0.336426
1480627420084607,0.827148,-0.431152,0.335449
1480627420108174,0.82959,-0.43457,0.330078
1480627420122207,0.82666,-0.444336,0.331543
1480627420152287,0.82666,-0.447754,0.334961
1480627420168331,0.820801,-0.450195,0.32959
1480627420197407,0.82373,-0.452637,0.337891
1480627420204928,0.827148,-0.446777,0.326172
1480627420227988,0.82959,-0.438477,0.32959
1480627420243029,0.826172,-0.433594,0.329102
1480627420264586,0.828125,-0.427734,0.330078
1480627420287146,0.827148,-0.426758,0.335449
1480627420303188,0.829102,-0.428711,0.331055
1480627420339790,0.834473,-0.443848,0.333984
1480627420353322,0.823242,-0.457031,0.333008
1480627420367859,0.820313,-0.455566,0.33252
1480627420386410,0.82373,-0.441406,0.331055
1480627420422006,0.821777,-0.44043,0.332031
1480627420438048,0.828125,-0.433105,0.334961
1480627420450580,0.828125,-0.430664,0.331543
1480627420474644,0.828125,-0.424316,0.328125
1480627420481663,0.831055,-0.428223,0.331543
1480627420506229,0.828613,-0.44043,0.324219
1480627420535310,0.82666,-0.443848,0.336426
1480627420541823,0.827148,-0.441895,0.333008
1480627420564884,0.822754,-0.443848,0.33252
1480627420587444,0.830566,-0.446777,0.328125
1480627420615520,0.822754,-0.453613,0.333496
1480627420626048,0.828125,-0.435547,0.331543
1480627420663648,0.82666,-0.419434,0.336426
1480627420701248,0.831543,-0.42041,0.338867
1480627420708768,0.834473,-0.432129,0.331543
1480627420714783,0.825684,-0.444336,0.33252
1480627420728324,0.828613,-0.444824,0.328125
1480627420746869,0.825684,-0.440918,0.331543
1480627420782965,0.821777,-0.45166,0.334473
1480627420788481,0.825195,-0.451172,0.341797
1480627420819562,0.827637,-0.440918,0.338379
1480627420827082,0.827637,-0.428711,0.333008
1480627420865183,0.83252,-0.424316,0.328613
1480627420868692,0.828613,-0.431641,0.328613
1480627420896767,0.827637,-0.429688,0.328125
1480627420907796,0.82959,-0.433594,0.336426
1480627420924845,0.830078,-0.446777,0.333496
1480627420947403,0.82959,-0.449707,0.337402
1480627420975979,0.820313,-0.454102,0.32959
1480627420985003,0.820801,-0.447266,0.32666
1480627421007563,0.82373,-0.435059,0.332031
1480627421036138,0.82666,-0.429199,0.330566
1480627421061706,0.832031,-0.425293,0.333008
1480627421068725,0.833496,-0.419922,0.337402
1480627421097804,0.830078,-0.42627,0.328613
1480627421110837,0.831055,-0.436523,0.32959
1480627421134399,0.833008,-0.447754,0.333496
1480627421150943,0.821289,-0.450684,0.333008
1480627421172501,0.821289,-0.447266,0.32959
1480627421187040,0.826172,-0.442871,0.328613
1480627421217119,0.826172,-0.4375,0.327148
1480627421224639,0.826172,-0.439453,0.331055
1480627421255221,0.827148,-0.430176,0.332031
1480627421270763,0.828613,-0.428223,0.331543
1480627421299840,0.830566,-0.430176,0.335938
1480627421307360,0.82373,-0.438965,0.33252
1480627421329920,0.82373,-0.456055,0.336426
1480627421350976,0.825195,-0.45166,0.330566
1480627421367520,0.820801,-0.447266,0.331055
1480627421392588,0.825684,-0.444824,0.337402
1480627421418154,0.825195,-0.442871,0.335938
1480627421427178,0.828613,-0.431641,0.339844
1480627421457761,0.831055,-0.419434,0.335449
1480627421463775,0.828125,-0.419922,0.327148
1480627421507893,0.830566,-0.436523,0.332031
1480627421533462,0.82666,-0.446289,0.328613
1480627421538475,0.819824,-0.445313,0.338379
1480627421547499,0.821777,-0.444824,0.335938
1480627421577579,0.828125,-0.45166,0.331543
1480627421590622,0.826172,-0.451172,0.334961
1480627421643254,0.825684,-0.446289,0.33252
1480627421654283,0.82959,-0.428223,0.32959
1480627421666321,0.833008,-0.422363,0.328125
1480627421674337,0.838379,-0.425781,0.336914
1480627421691381,0.83252,-0.437988,0.32666
1480627421710933,0.822754,-0.442383,0.330566
1480627421727478,0.826172,-0.448242,0.328613
1480627421749536,0.822754,-0.456055,0.327637
1480627421787637,0.82666,-0.450195,0.337891
1480627421790146,0.820801,-0.438477,0.344727
1480627421811200,0.817383,-0.438965,0.334961
1480627421832256,0.83252,-0.431641,0.33252
