timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1480627420039988,3,2,0,-1,-2,-2,-2,-3
1480627420039988,-6,-3,-4,1,1,1,0,-1
1480627420041998,6,-2,0,-1,0,0,-1,1
1480627420041998,-3,0,-4,-1,-2,-1,-2,-1
1480627420042495,1,1,-3,0,2,-1,0,1
1480627420042495,-1,4,12,2,-1,-1,0,0
1480627420070068,6,9,4,2,0,0,2,0
1480627420070068,-9,-5,-5,-2,-2,-1,-2,-3
1480627420071071,5,1,-1,0,-1,-2,-1,0
1480627420071071,-8,0,0,0,-1,0,0,-1
1480627420075084,6,3,10,1,0,-1,-2,2
1480627420075084,-3,-3,-7,-2,-1,-2,1,0
1480627420084106,-1,-2,-6,1,0,0,0,-3
1480627420084106,4,0,-7,-3,-1,-1,0,4
1480627420085609,-7,-4,-5,1,0,-1,-2,-4
1480627420085609,5,5,6,1,-1,1,2,3
1480627420107173,-3,-3,-6,-1,1,-1,1,-3
1480627420107173,1,0,-1,-1,-2,-1,-1,1
1480627420108671,-1,-7,-3,1,1,0,0,-2
1480627420108671,1,7,7,1,-1,0,-1,-1
1480627420121705,-2,0,4,-2,-2,1,-1,2
1480627420121705,-4,-8,-11,-2,1,-1,-2,-5
1480627420123209,2,-3,-13,-3,-1,-2,1,1
1480627420123209,-3,0,12,3,0,1,1,1
1480627420151283,-1,6,1,0,-2,-1,-1,-3
1480627420151283,8,-8,-12,-1,-1,-1,-1,1
1480627420153289,-2,2,5,-1,-1,0,1,2
1480627420153289,-3,-4,1,-1,0,-1,1,1
1480627420166324,-2,-1,3,0,0,1,0,0
1480627420166324,2,0,2,0,2,2,0,-1
1480627420168831,2,-1,2,0,0,1,0,1
1480627420168831,-5,-2,-4,1,0,0,-1,-1
1480627420196406,-8,0,-2,-1,-3,-2,0,-2
1480627420196406,1,1,5,-1,-1,-2,0,0
1480627420197908,0,0,-10,-3,-2,0,1,-1
1480627420197908,-4,-6,-2,-1,0,-1,-1,-2
1480627420203924,2,-6,-5,-2,1,-1,-1,1
1480627420203924,-6,-1,2,-2,-3,-2,-1,-4
1480627420205429,-2,-3,1,0,-2,0,-1,-2
1480627420205429,4,3,8,1,0,2,1,-3
1480627420226484,5,-1,-1,-1,-3,-3,-2,2
1480627420226484,5,2,-2,-1,-1,-2,0,3
1480627420228991,-3,1,3,0,0,-2,-2,0
1480627420228991,-7,-10,-5,1,0,-1,-1,-3
1480627420242026,2,2,-3,-1,-1,0,0,0
1480627420242026,-2,3,1,0,-2,0,0,-1
1480627420243530,0,-6,-2,0,-1,-2,0,1
1480627420243530,1,-1,-13,-4,-3,-1,-1,1
1480627420264085,0,0,2,0,1,2,-3,0
1480627420264085,-4,6,-2,0,1,-2,-2,-3
1480627420265588,1,-8,-4,-2,1,-2,-1,0
1480627420265588,0,2,5,0,0,-1,0,3
1480627420286144,-1,-2,-2,-1,-1,-1,-2,-5
1480627420286144,1,-1,-3,-2,1,1,2,4
1480627420301684,0,1,-1,-1,-1,0,-1,0
1480627420301684,-1,2,5,-1,1,0,-1,-3
1480627420302185,-3,-7,-8,-2,0,0,-2,-1
1480627420302185,-17,-6,5,2,1,-1,-1,-8
1480627420307705,0,4,3,-1,-1,-2,-3,-1
1480627420307705,6,2,-1,-2,-1,0,-2,2
1480627420338784,-1,-3,-6,-1,-1,-2,0,1
1480627420338784,2,3,6,2,-1,1,-1,0
1480627420346303,-2,-9,-11,-3,-2,-1,0,0
1480627420346303,-9,0,-3,0,0,-1,-1,-8
1480627420346805,7,3,3,-1,0,1,2,7
1480627420346805,0,1,-5,0,0,0,-2,-2
1480627420354324,-4,-7,-7,-2,0,2,1,0
1480627420354324,7,-1,1,0,0,-1,-1,2
1480627420361343,-4,5,2,1,1,-3,-2,-5
1480627420361343,-3,-2,-14,-1,1,-1,-2,-2
1480627420384405,1,2,8,1,0,-1,-1,-1
1480627420384405,3,2,1,0,-2,0,-1,0
1480627420385407,4,-1,-5,-1,-2,0,1,1
1480627420385407,-4,-4,0,2,1,2,1,0
1480627420386915,9,7,15,1,-1,-1,-1,0
1480627420386915,-16,-11,-11,-4,-1,-1,-1,-2
1480627420421002,-7,-3,-7,0,-1,0,-3,-6
1480627420421002,11,0,-2,-1,-1,-1,-1,6
1480627420428020,3,-5,1,-1,-1,1,-1,1
1480627420428020,-2,-1,2,-2,-1,0,-1,-1
1480627420437044,-5,-2,1,1,-1,0,2,0
