timestamp,x,y,z
1480627420002388,1.3125,0.25,0.0625
1480627420040994,0.75,0,0.3125
1480627420060542,-1.4375,-0.3125,-0.4375
1480627420072077,-0.1875,-0.0625,0.125
1480627420084607,0.375,0,0.0625
1480627420108174,-0.125,-0.0625,0.25
1480627420122207,-0.125,-0.0625,-0.4375
1480627420152287,0.25,0,0.0625
1480627420168331,0.3125,-0.1875,0
1480627420197407,-0.1875,-0.1875,-0.375
1480627420204928,-0.25,-0.125,-0.375
1480627420227988,0,0,0.0625
1480627420243029,-0.25,-0.25,-0.1875
1480627420264586,-0.0625,-0.125,-0.4375
1480627420287146,1.25,0.0625,0.125
1480627420303188,0.0625,-0.0625,0.0625
1480627420339790,-1.25,-0.125,-0.0625
1480627420353322,-0.1875,-0.0625,-0.375
1480627420367859,1,-0.0625,-0.125
1480627420386410,0.6875,0,0
1480627420422006,-0.4375,0.0625,-0.1875
1480627420438048,-1,-0.125,-0.0625
1480627420450580,-0.125,-0.125,-0.0625
1480627420474644,0.25,0.125,0.1875
1480627420481663,-0.3125,0.0625,0.0625
1480627420506229,-0.25,0.0625,0.125
1480627420535310,0.1875,0.125,-0.3125
1480627420541823,0.125,0.3125,0.4375
1480627420564884,-1,0.25,0.125
1480627420587444,-1.3125,0.125,0.25
1480627420615520,-0.125,0.125,-0.125
1480627420626048,0.3125,0.3125,0.125
1480627420663648,0.0625,0.3125,0.5
1480627420701248,-1.3125,0.1875,0.125
1480627420708768,-1.6875,0.0625,0.0625
1480627420714783,-0.3125,0.0625,0.0625
1480627420728324,0.1875,0.3125,0.4375
1480627420746869,-1.0625,0.1875,0.0625
1480627420782965,-1.75,0.0625,-0.1875
1480627420788481,-0.625,0.125,0.125
1480627420819562,-0.0625,0.25,0.125
1480627420827082,-0.375,0.0625,0.125
1480627420865183,-1.4375,0.125,-0.3125
1480627420868692,-0.8125,0.125,0.4375
1480627420896767,-0.0625,0.125,0.25
1480627420907796,0.0625,0.3125,0.3125
1480627420924845,-0.75,0.0625,-0.0625
1480627420947403,-0.8125,0.125,0.0625
1480627420975979,-0.125,0.1875,0.125
1480627420985003,-0.3125,0.3125,0.125
1480627421007563,-0.5625,0.3125,0.125
1480627421036138,-0.625,0.1875,0.0625
1480627421061706,-0.5625,0.1875,0.1875
1480627421068725,-0.5,0.25,0.3125
1480627421097804,-0.9375,0.25,0.1875
1480627421110837,-0.9375,0.3125,0.25
1480627421134399,-0.25,0.1875,0.5
1480627421150943,-0.0625,0.25,0.3125
1480627421172501,-0.4375,0.375,0.0625
1480627421187040,-0.4375,0.5,0.25
1480627421217119,-0.9375,0.25,0.3125
1480627421224639,-1.5625,0.1875,0
1480627421255221,-0.5,0.375,0.25
1480627421270763,0.0625,0.375,0.4375
1480627421299840,-0.375,0.125,0.375
1480627421307360,-1,0.1875,0.0625
1480627421329920,-0.75,0.1875,0.0625
1480627421350976,-0.4375,0.1875,0.25
1480627421367520,-1.1875,0.1875,0.1875
1480627421392588,-1.1875,0.0625,0.125
1480627421418154,-0.625,0.25,0.125
1480627421427178,0.25,0.125,-0.0625
1480627421457761,-0.25,0.125,0.0625
1480627421463775,-1.1875,0.125,0.1875
1480627421507893,-1.75,0.0625,0.125
1480627421533462,-0.625,0.1875,0.0625
1480627421538475,0.6875,0.4375,0.125
1480627421547499,-0.25,0.1875,0.125
1480627421577579,-1.9375,0.0625,0.25
1480627421590622,-1.375,0.125,0
1480627421643254,0.25,0.3125,0.125
1480627421654283,0.75,0.375,0.3125
1480627421666321,-0.3125,0.3125,0.25
1480627421674337,-1.4375,0.125,0.125
1480627421691381,-1,0.25,0.3125
1480627421710933,-0.625,0.1875,0.3125
1480627421727478,-0.6875,0.1875,0.4375
1480627421749536,-0.6875,0.3125,0.0625
1480627421787637,-0.0625,0.375,0.3125
1480627421790146,0.25,0.25,0.375
1480627421811200,-0.6875,0.3125,0.1875
1480627421832256,-1.125,0.375,0.3125
1480627421855317,-0.75,0.1875,0.1875
1480627421892416,-0.5625,0.1875,0.25
1480627421906959,-0.3125,0.375,0.1875
1480627421931018,-0.0625,0.3125,0.4375
1480627421975139,-1.125,0.125,0.3125
1480627421978645,-1.25,0.125,0.125
1480627421981654,-0.3125,0.1875,0.25
1480627421989679,-0.5,0.3125,0.3125
1480627422012235,-0.9375,0.1875,0.25
1480627422027777,-1.3125,0.125,0.125
1480627422050336,-0.8125,0.0625,0.1875
1480627422088438,-0.25,0.1875,0
1480627422093953,0,0.0625,0.125
1480627422115509,-0.5,0.125,0.125
1480627422177675,-1.3125,0.0625,0.1875
1480627422183190,-1.4375,0,0
1480627422252875,0.125,0.375,0.25
1480627422255382,-0.9375,0.125,0.5
1480627422259895,-1.875,0,-0.0625
1480627422280949,1.0625,0.375,0.125
1480627422298496,-0.0625,0.25,0.25
1480627422312033,-1.125,0.125,0.125
1480627422327073,-1.25,0.0625,0.125
1480627422364672,-0.6875,0.25,0.25
1480627422372697,-0.125,0.3125,0.25
1480627422393250,-0.625,0.25,0.5625
