timestamp,roll,pitch,yaw
1480627420002388,-0.926996,-0.97977,-2.37889
1480627420040994,-0.926996,-0.97977,-2.37889
1480627420060542,-0.927067,-0.979992,-2.37911
1480627420072077,-0.926887,-0.980014,-2.37914
1480627420084607,-0.926844,-0.980177,-2.3795
1480627420108174,-0.926844,-0.980177,-2.3795
1480627420122207,-0.926844,-0.980177,-2.3795
1480627420152287,-0.926844,-0.980177,-2.3795
1480627420168331,-0.926914,-0.980131,-2.37937
1480627420197407,-0.926914,-0.980131,-2.37937
1480627420204928,-0.927067,-0.979992,-2.37911
1480627420227988,-0.926887,-0.980014,-2.37914
1480627420243029,-0.926816,-0.98006,-2.37927
1480627420264586,-0.927017,-0.980237,-2.37923
1480627420287146,-0.925861,-0.980379,-2.37973
1480627420303188,-0.92579,-0.980424,-2.37986
1480627420339790,-0.926182,-0.980533,-2.37981
1480627420353322,-0.926363,-0.980511,-2.37978
1480627420367859,-0.926221,-0.980335,-2.37968
1480627420386410,-0.926221,-0.980335,-2.37968
1480627420422006,-0.926221,-0.980335,-2.37968
1480627420438048,-0.926221,-0.980335,-2.37968
1480627420450580,-0.926041,-0.980357,-2.37971
1480627420474644,-0.92597,-0.980403,-2.37983
1480627420481663,-0.925991,-0.980602,-2.37982
1480627420506229,-0.925991,-0.980602,-2.37982
1480627420535310,-0.925991,-0.980602,-2.37982
1480627420541823,-0.925991,-0.980602,-2.37982
1480627420564884,-0.925991,-0.980602,-2.37982
1480627420587444,-0.926586,-0.980326,-2.3794
1480627420615520,-0.926766,-0.980305,-2.37938
1480627420626048,-0.926614,-0.980444,-2.37963
1480627420663648,-0.926543,-0.98049,-2.37976
1480627420701248,-0.926107,-0.980813,-2.38053
1480627420708768,-0.926358,-0.981014,-2.38074
1480627420714783,-0.926358,-0.981014,-2.38074
1480627420728324,-0.926358,-0.981014,-2.38074
1480627420746869,-0.92673,-0.980924,-2.3807
1480627420782965,-0.927289,-0.980731,-2.38088
1480627420788481,-0.92736,-0.980685,-2.38075
1480627420819562,-0.92736,-0.980685,-2.38075
1480627420827082,-0.927109,-0.980753,-2.3809
1480627420865183,-0.926956,-0.981161,-2.38151
1480627420868692,-0.926956,-0.981161,-2.38151
1480627420896767,-0.927087,-0.981385,-2.38161
1480627420907796,-0.926906,-0.981406,-2.38163
1480627420924845,-0.926906,-0.981406,-2.38163
1480627420947403,-0.926704,-0.981228,-2.38167
1480627420975979,-0.926956,-0.981161,-2.38151
1480627420985003,-0.926956,-0.981161,-2.38151
1480627421007563,-0.926956,-0.981161,-2.38151
1480627421036138,-0.926885,-0.981207,-2.38164
1480627421061706,-0.926906,-0.981406,-2.38163
