timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1480686688566946,0,0,-3,-1,-1,-1,-1,0
1480686688566946,-1,-4,0,1,1,-2,-1,-2
1480686688568450,0,1,0,-3,-1,0,1,1
1480686688568450,-4,-3,-3,-4,-2,-2,-2,-2
1480686688581985,0,1,0,2,-1,0,-1,-3
1480686688581985,0,0,-2,-1,2,1,0,-1
1480686688599533,-2,1,-1,-3,-1,-2,-1,0
1480686688599533,0,1,1,1,0,0,1,3
1480686688600537,-1,0,1,-1,2,0,2,2
1480686688600537,0,-2,1,0,-2,-1,-1,-2
1480686688619586,0,-1,-2,1,0,0,-2,-3
1480686688619586,-2,-1,1,-2,0,1,2,1
1480686688620588,-1,-1,0,-2,-2,-1,-1,0
1480686688620588,0,0,2,1,-1,-1,0,0
1480686688627107,-1,0,-3,-1,-2,-1,-2,0
1480686688627107,-1,0,-1,0,-2,-1,0,-1
1480686688649164,1,2,-2,0,2,-1,1,-1
1480686688649164,-2,-1,-1,-3,0,-1,0,1
1480686688656184,-1,-1,1,3,-1,-1,-2,-2
1480686688656184,0,0,1,1,-1,-1,-1,-1
1480686688680749,1,-4,-3,-1,1,0,-2,1
1480686688680749,0,0,0,0,-1,-1,-1,1
1480686688682252,-2,1,1,-3,-3,-2,1,-2
1480686688682252,-1,-3,0,1,2,1,0,0
1480686688700801,-1,-1,0,-2,-1,0,1,3
1480686688700801,-2,-3,-1,-1,-1,-1,-3,-5
1480686688710829,-2,-2,-2,-2,-1,-1,-2,-2
1480686688710829,0,2,1,2,0,-2,1,-1
1480686688715842,-2,0,0,2,-2,-1,0,-1
1480686688715842,-1,0,-1,0,0,1,1,2
1480686688732386,-1,-1,-2,-2,-1,0,0,1
1480686688732386,1,3,-1,-1,-2,-1,-4,-3
1480686688733388,-2,-6,-3,-2,-1,0,2,4
1480686688733388,0,0,-1,-1,-2,-2,-3,-4
1480686688734892,0,-2,0,2,2,-1,0,-2
1480686688734892,0,1,0,1,-2,0,1,2
1480686688754444,-1,-1,1,1,-1,-1,-2,-3
1480686688754444,0,1,0,0,-2,-1,2,2
1480686688755949,1,-2,0,0,-1,0,0,1
1480686688755949,-2,-2,-4,-3,-1,0,0,-4
1480686688769485,0,1,0,-1,-2,0,-2,-2
1480686688769485,-1,0,0,1,-2,-2,1,0
1480686688770988,-1,2,0,3,0,2,0,0
1480686688770988,-2,-2,-2,-1,-1,-2,-1,0
1480686688776001,2,1,0,-1,2,0,-2,-1
1480686688776001,-2,-3,-1,0,-1,-1,-2,-1
1480686688790542,1,-1,-1,0,-1,1,1,4
1480686688790542,-1,-1,1,-1,-1,0,-2,-2
1480686688799565,-1,1,-1,-2,0,-1,-2,-4
1480686688799565,0,-2,-1,-2,0,0,-1,0
1480686688801069,0,-1,-1,-3,-2,-2,0,-2
1480686688801069,-2,-2,0,-2,1,-1,-1,1
1480686688822124,-1,-1,0,-1,0,2,-1,0
1480686688822124,-2,-2,-1,1,0,-2,0,0
1480686688823629,0,0,-2,-3,-1,-2,-1,-1
1480686688823629,-1,0,1,-3,0,-1,0,0
1480686688845687,-1,-1,-3,1,1,0,-1,-3
1480686688845687,1,0,0,1,-2,0,-3,-3
1480686688850704,-3,-2,-3,0,3,-1,0,-3
1480686688850704,1,-1,0,0,-1,0,-3,0
1480686688859223,1,0,0,-1,0,1,0,-1
1480686688859223,-2,-2,-1,-1,-2,1,0,0
1480686688890807,-1,1,0,0,-2,-2,-3,-2
1480686688890807,1,-1,0,3,0,-1,0,0
1480686688891308,-1,0,0,-1,-2,-1,2,0
1480686688891308,-2,-3,-1,-3,0,-1,-2,-6
1480686688893313,-1,-3,-1,-1,-1,0,0,1
1480686688893313,0,0,1,0,0,0,2,0
1480686688896824,0,2,1,1,-1,-2,-1,2
1480686688896824,1,-2,0,-3,-2,-2,-3,1
1480686688904343,-1,-3,0,0,0,-1,-2,-3
1480686688904343,-1,0,2,1,5,1,1,0
1480686688934929,0,-1,0,3,0,0,1,0
1480686688934929,0,0,-2,-2,1,-1,3,4
1480686688936935,2,-1,-1,-1,-3,-3,-3,-3
1480686688936935,-2,0,-1,1,-1,0,0,-2
1480686688957993,1,-1,-1,-1,-1,1,0,-1
1480686688957993,0,1,0,0,1,-1,1,1
1480686688972529,0,-1,-1,0,1,1,0,2
1480686688972529,-1,0,0,-2,-2,-3,-1,-1
1480686688973532,-1,-1,-3,0,-2,-2,-1,-2
1480686688973532,0,0,-3,-3,-1,-1,0,0
1480686688975037,-2,-3,-2,0,-1,-2,1,-1
1480686688975037,0,0,1,-1,0,0,-3,-3
1480686688979548,-1,-2,-2,0,-2,-1,-2,-1
1480686688979548,0,2,3,1,2,2,1,-1
1480686688981052,-1,1,1,2,2,0,0,0
1480686688981052,0,-1,-2,0,-1,-2,1,3
1480686689002108,-1,-3,0,0,-1,-1,-2,-3
1480686689002108,-1,-2,-1,1,2,1,-1,-4
1480686689003615,-2,0,0,-3,-2,-1,-1,-1
1480686689003615,-1,-1,-3,-1,-1,-1,-2,-2
1480686689039207,1,0,1,-2,1,-1,0,0
1480686689039207,-2,-1,0,1,-3,-2,-2,0
1480686689048230,1,0,1,0,-1,1,0,-1
1480686689048230,-1,-2,-2,-1,-1,0,1,2
1480686689048732,-2,1,1,1,2,0,0,0
1480686689048732,1,-2,-3,-10,-4,-2,-3,-4
1480686689062769,-2,0,1,1,2,1,2,5
1480686689062769,0,-1,-3,0,-2,-1,-1,-4
1480686689063271,1,-1,-2,-5,-5,-2,-11,-5
1480686689063271,1,1,1,3,-2,3,1,3
1480686689064775,-2,-3,-5,-3,3,-1,-3,-1
1480686689064775,0,2,-1,2,-2,-2,2,1
1480686689075302,0,-1,0,-2,0,-1,2,-3
1480686689075302,1,0,0,1,-1,-1,0,-1
1480686689084327,1,-1,1,-1,-3,-1,0,-1
1480686689084327,-1,0,0,1,0,1,2,1
1480686689099366,-1,-1,0,0,1,1,2,2
1480686689099366,-2,-1,1,0,0,-1,-3,-6
1480686689100871,0,2,-1,-2,-1,-1,0,-1
1480686689100871,-1,-5,-2,-4,-1,-1,-3,-3
1480686689122429,-1,0,1,-1,-2,0,1,1
1480686689122429,1,0,-4,-3,-1,-2,0,2
1480686689127943,-2,-2,-3,0,-1,1,-2,-2
1480686689127943,-1,-1,-1,-1,-3,1,-1,-1
1480686689135463,-1,0,-3,-1,3,0,1,0
1480686689135463,-1,-2,1,2,0,1,2,2
1480686689144488,1,1,0,0,-3,-2,1,1
1480686689144488,0,3,1,-2,-4,-3,-1,-2
1480686689158524,-1,0,-1,3,-1,0,-4,-3
1480686689158524,-2,-3,-1,-1,-4,0,-1,1
1480686689182589,-1,-1,0,0,1,0,1,0
1480686689182589,-1,-2,0,-3,-1,0,0,-1
1480686689183091,0,-2,-3,-3,-1,-3,0,0
1480686689183091,-1,0,0,2,2,1,1,0
1480686689189607,0,-1,1,-2,-2,-2,0,0
1480686689189607,1,0,0,0,1,0,1,0
1480686689211667,-1,0,2,0,-3,-1,1,0
1480686689211667,-1,1,-2,0,-2,-3,-6,-3
1480686689213671,-1,1,-2,1,0,0,1,1
1480686689213671,-2,2,-2,1,0,-1,-3,-3
1480686689226706,-2,-3,-3,-1,-3,0,0,-4
1480686689226706,1,1,-1,1,0,0,2,1
1480686689228715,0,-1,-2,1,-3,-2,-4,-3
1480686689228715,1,-1,0,-1,0,-1,2,0
1480686689250769,-1,-1,-1,-3,0,-2,2,2
1480686689250769,-1,-1,0,-1,0,-1,-1,-1
1480686689252273,0,1,1,-1,0,0,-1,-1
1480686689252273,-1,-1,0,0,2,1,0,1
1480686689255281,0,1,-1,-1,-2,1,0,1
1480686689255281,3,1,0,0,1,1,5,6
1480686689279849,-1,-1,-1,0,0,-1,0,-7
1480686689279849,-2,-2,-2,-4,-2,-2,-7,-3
1480686689281852,-2,2,2,0,0,-1,-3,0
1480686689281852,0,-2,-1,0,-1,-1,-5,-3
1480686689283356,1,-2,-1,-1,-3,-1,1,3
1480686689283356,0,-2,-1,-1,-1,0,3,5
1480686689301906,0,0,0,1,2,0,-1,-3
1480686689301906,-2,-1,-1,-2,0,-1,0,-4
1480686689303409,0,0,0,-1,1,0,-2,-1
1480686689303409,-1,-1,-1,1,-3,-4,-1,0
1480686689324466,1,-2,-1,0,0,-2,1,3
1480686689324466,-1,0,-1,-1,-1,0,1,-1
1480686689330490,-1,0,1,0,-3,-3,-3,-2
1480686689330490,0,-1,-3,-4,0,1,2,1
1480686689340007,1,-1,-1,-2,1,1,1,1
1480686689340007,1,-1,-1,0,-2,1,-7,-8
1480686689354546,-3,-2,-1,-1,0,0,0,4
1480686689354546,0,-3,-4,-3,-4,-3,-4,-4
1480686689362069,-1,0,0,2,0,-1,-3,-5
1480686689362069,-2,-2,-2,-2,2,0,3,-7
1480686689363570,-1,-1,1,1,1,1,1,1
1480686689363570,0,-1,-1,1,2,-1,2,2
1480686689375601,1,-1,1,-1,-2,2,2,3
1480686689375601,1,2,1,0,-3,-3,-1,3
1480686689392145,-2,-5,0,-1,-3,-2,-4,-2
1480686689392145,0,-2,-1,2,-1,0,1,-1
1480686689399164,-1,-1,1,0,0,0,0,1
1480686689399164,0,-1,0,1,-1,-3,2,3
1480686689401170,1,1,-2,0,1,-2,-4,-3
1480686689401170,-1,1,-1,2,1,-1,-7,-8
1480686689423228,-1,-1,-2,0,-1,0,0,-1
1480686689423228,0,-1,0,0,0,2,0,-2
1480686689425735,-1,-1,-2,-3,-3,-2,2,1
1480686689425735,-1,0,0,0,-1,-1,1,-1
1480686689435264,1,0,0,-1,-1,-1,-2,-1
1480686689435264,-1,-1,-2,2,0,1,3,3
1480686689444284,1,0,-1,-3,0,0,-2,-2
1480686689444284,0,1,0,-1,0,0,-1,0
1480686689459324,-2,-2,-2,-2,0,0,0,0
1480686689459324,1,0,-1,2,0,0,-1,2
1480686689460828,-1,1,0,-2,-3,0,0,-1
1480686689460828,-1,-2,0,-3,0,0,2,4
1480686689482386,-1,-1,-1,0,-1,-2,-1,-3
1480686689482386,-2,0,1,-1,1,-2,0,5
1480686689487900,-1,-3,-5,-1,-1,0,-1,-4
1480686689487900,1,2,-1,-1,-1,0,0,1
1480686689504945,-1,-1,0,0,-2,0,1,-1
1480686689504945,-1,0,-2,-2,-1,-1,-7,-7
1480686689510460,2,0,2,0,-1,-2,0,0
1480686689510460,0,0,1,0,0,-1,-2,1
1480686689518481,0,-1,-1,-4,-2,0,1,0
1480686689518481,1,0,0,-2,-2,-2,3,3
1480686689527004,-1,-3,-3,-2,1,1,1,-5
1480686689527004,0,-4,0,-1,0,-1,-14,-8
1480686689542545,1,1,-1,0,0,-1,0,1
1480686689542545,-3,-1,0,-2,0,-1,-1,0
1480686689548060,0,1,-3,0,0,0,2,4
1480686689548060,-1,-1,1,1,-1,0,4,1
1480686689564604,-2,-3,0,-5,-1,-2,-4,-1
1480686689564604,0,0,-1,-2,-1,-1,-2,-2
1480686689580647,-1,-3,-1,0,-2,0,0,1
1480686689580647,1,0,0,1,2,0,0,0
1480686689581649,0,0,1,1,0,-3,-2,-2
1480686689581649,-1,-1,0,-1,0,0,1,0
1480686689583153,-1,2,0,0,1,-1,-3,-2
1480686689583153,0,0,0,1,1,-1,4,6
1480686689609223,-1,-3,-3,-1,0,-1,4,4
1480686689609223,-1,0,-1,-3,-2,-3,-11,-10
1480686689611228,-2,1,0,1,0,-1,-7,-8
1480686689611228,-2,-3,1,0,0,1,2,-6
