timestamp,x,y,z
1480685819554453,0.1875,0.3125,-0.9375
1480685819577013,-0.0625,0.125,-0.75
1480685819600075,0.0625,0.3125,-0.4375
1480685819615115,0.6875,0.4375,-0.4375
1480685819637174,0.875,0.875,-0.6875
1480685819659734,0.5625,0.5625,-0.8125
1480685819675274,0.0625,0.25,-0.6875
1480685819697336,-0.0625,0.3125,-0.625
1480685819719391,0.125,0,-0.875
1480685819734431,0.3125,0,-0.875
1480685819758495,0.3125,0.25,-0.8125
1480685819787573,0.1875,0.3125,-0.75
1480685819809633,0.25,0.375,-0.625
1480685819824671,0.0625,0.25,-0.375
1480685819854251,0.125,0.3125,-0.125
1480685819856757,0,0.0625,-0.4375
1480685819877311,0.25,0.375,-0.9375
1480685819906900,0.625,0.625,-1
1480685819913912,0.625,0.6875,-1
1480685819936970,0.6875,0.5,-0.9375
1480685819959531,0.75,0.375,-0.4375
1480685819980601,0.4375,0.3125,0.3125
1480685820000138,0.625,0.5,0.5625
1480685820019690,1.0625,0.1875,0.5
1480685820042250,0.375,-0.5625,0
1480685820072831,-0.5625,-0.4375,-1.25
1480685820086869,-0.625,0,-1.0625
1480685820107925,0.75,0.5,-0.3125
1480685820116948,1.4375,0.9375,-0.375
1480685820139509,0.75,1.25,-0.5625
1480685820176607,-0.3125,0.625,-0.1875
1480685820186634,-0.75,-0.0625,0.375
1480685820207690,-0.4375,-0.0625,0.875
1480685820220725,-0.3125,0.125,0.5625
1480685820237770,-0.75,0,0.3125
1480685820259829,-0.8125,0,0.375
1480685820280885,-0.8125,-0.25,0.4375
1480685820297931,-0.25,-0.0625,0.375
1480685820319988,-0.125,-0.1875,0.1875
1480685820342048,0.125,-0.25,0.0625
1480685820363103,0.375,-0.25,0.25
1480685820387168,0.625,-0.0625,0.125
1480685820402209,0.375,0.1875,-0.5625
1480685820418250,0.6875,0.625,-0.75
1480685820445824,0.875,0.75,-1
1480685820463370,0.75,0.875,-0.625
1480685820477407,0.875,0.875,0
1480685820514008,1,0.625,0.125
1480685820523530,0.5625,0.375,0
1480685820537567,0.5,0.5,-0.4375
1480685820559626,0.1875,0.25,-0.625
1480685820582186,0.3125,0.1875,-0.75
1480685820597226,0.3125,0.125,-0.875
1480685820619785,0.4375,0.125,-0.6875
1480685820642345,0,0,-0.375
1480685820656884,-0.1875,-0.125,-0.125
1480685820702506,-0.4375,0,-0.125
1480685820705012,0.375,0.1875,0.125
1480685820716544,0.625,0.25,-0.5
1480685820740105,0,0.125,-1.0625
1480685820762164,-0.25,-0.0625,-0.8125
1480685820777706,-0.1875,0,-0.6875
1480685820799764,0.25,0.0625,-0.125
1480685820830346,0.1875,0.4375,-0.3125
1480685820843381,0.4375,0.4375,-0.4375
1480685820860426,0.5,0.625,-0.3125
1480685820882986,0,0.25,-0.1875
1480685820896523,-0.125,0.0625,-0.25
1480685820919583,0.125,0.3125,-0.25
1480685820942645,0.1875,0.3125,-0.1875
1480685820963202,0.3125,0.375,-0.125
1480685820985759,0.1875,0,-0.25
1480685821002303,-0.25,-0.0625,-0.0625
1480685821023359,-0.1875,0,-0.1875
1480685821039401,-0.0625,0.0625,-0.1875
1480685821061962,0.25,0.375,-0.4375
1480685821083019,0.125,0.375,-0.5
1480685821100063,-0.0625,0.1875,-0.3125
1480685821121621,0,0.4375,-0.125
1480685821143179,0.4375,0.25,0
1480685821166239,-0.375,0.125,-0.375
1480685821182282,-0.0625,0.1875,-0.625
1480685821203338,0.4375,0,-0.6875
1480685821220383,0.5625,0.0625,-0.5625
1480685821241941,0,0.0625,-0.625
1480685821263004,-0.1875,0.125,-0.5625
1480685821279542,0.6875,0.375,-0.3125
1480685821308617,0.375,0,-0.5
1480685821323658,-0.3125,-0.25,-0.8125
1480685821341204,-0.25,0,-0.875
1480685821362260,0.5,0.375,-0.4375
1480685821405375,0.1875,0.125,-0.3125
1480685821416906,-0.1875,0.1875,-0.375
1480685821429439,-0.3125,0.125,-0.0625
1480685821444479,-0.25,0.0625,0.0625
1480685821467540,0.625,0.625,0.25
1480685821488095,0.25,0.1875,-0.125
1480685821503135,0.0625,0.0625,-0.6875
1480685821519679,-0.3125,0,-0.8125
1480685821542239,-0.125,0.25,-0.1875
1480685821570814,0.625,0.5625,0.125
1480685821587359,0.4375,0.4375,0.3125
1480685821615935,-0.25,0.1875,0.25
1480685821626965,-0.25,0,-0.125
1480685821653033,0.375,0.25,-0.3125
1480685821662060,0.1875,0.0625,-0.1875
1480685821709184,0.125,-0.125,-0.0625
1480685821714196,0.125,0.0625,-0.3125
1480685821728233,0.0625,0.125,-0.1875
1480685821744778,0.1875,0.25,-0.125
1480685821758815,0.4375,0.3125,0.125
1480685821781876,0.375,0.125,-0.125
1480685821804436,0.0625,0.3125,-0.8125
1480685821820479,-0.25,0.25,-0.75
1480685821842038,0,0.125,-0.125
1480685821864595,0.625,0.375,0.125
1480685821879136,0.375,0.375,0.125
1480685821902197,0,0,-0.3125
1480685821955337,-0.25,-0.1875,-0.75
1480685821957844,-0.25,0,-0.4375
1480685821998452,0.0625,0.4375,-0.375
1480685822022515,0.5,0.3125,0.125
1480685822029034,0,0.0625,-0.5
1480685822044575,0.125,0.3125,-0.5
1480685822065630,0.25,0.5625,-0.4375
1480685822082174,0.5,0.375,-0.25
1480685822104734,0.3125,0.1875,-0.5
1480685822125791,0.1875,0.3125,-0.3125
1480685822142335,0.25,0.5,-0.3125
1480685822164393,0.25,0.5,-0.5
1480685822185449,0.625,0.75,-0.4375
1480685822215530,0.625,0.375,-0.875
1480685822238089,0.3125,0.1875,-1.1875
1480685822291230,0.25,0.375,-0.5625
1480685822307775,0.4375,0.3125,-0.875
1480685822320308,0.625,0.25,-1.0625
1480685822330836,0.125,0.625,-1.6875
1480685822332340,0.4375,0.875,-1.4375
1480685822344873,0.625,0.8125,-1.0625
1480685822365427,1,0.6875,-0.75
1480685822381972,0.875,0.4375,-0.9375
1480685822405033,0.25,0,-0.75
1480685822425588,-0.3125,0,-0.375
1480685822442132,0.4375,0.125,0.0625
1480685822472212,1.125,0.5,0
1480685822494270,0.625,0.375,-0.25
1480685822539893,-0.125,0.4375,-0.5625
1480685822542399,0.25,1.125,-1.3125
1480685822563956,0.625,1.3125,-0.8125
1480685822586014,0.1875,0.9375,-0.3125
1480685822590526,0.3125,0.9375,-0.5625
1480685822607070,0.5,0.8125,-0.8125
1480685822621609,0.3125,0.6875,-1.125
1480685822644672,-0.125,0.8125,-1.375
1480685822667231,-1.625,0.375,-1.4375
1480685822682271,0.4375,0.9375,-0.6875
1480685822704329,1,0.9375,-0.25
1480685822727391,0.6875,0.4375,0.125
1480685822741428,-0.5625,-0.125,0.125
1480685822787550,-0.9375,-0.375,-0.1875
1480685822790056,-0.1875,0.0625,-0.375
1480685822840190,0.9375,0.5625,0.1875
1480685822886314,1.5625,0.875,0.6875
1480685822907871,1.1875,0.5625,0.3125
1480685822909375,0.8125,0.5625,-0.0625
1480685822913390,0.875,0.25,0
1480685822921406,1.125,0.625,0.0625
1480685822944469,1.3125,0.8125,0.4375
1480685822967027,1.25,0.6875,0.375
1480685822988083,1.0625,0.625,-0.3125
1480685823004628,0.0625,0.25,-0.9375
1480685823027689,-3.375,0,-1.875
1480685823078827,-1.875,0.0625,-1.4375
1480685823103390,0.5625,0.5,-1.125
1480685823110414,1.375,0.75,-1.1875
1480685823114927,-0.125,0.5,-0.875
1480685823124446,-0.125,0.375,-0.5
1480685823161547,0.75,0.4375,-0.25
1480685823168062,0.9375,0.5,-0.3125
1480685823191124,0.8125,0.5625,-0.3125
1480685823207166,0.6875,0.4375,-0.1875
1480685823235743,1.25,0.5,0.125
1480685823245269,1.4375,0.25,0.375
1480685823295904,1.8125,0.0625,-0.125
1480685823357065,2.0625,0.25,-1.5
1480685823366590,3.25,1.125,-2.375
1480685823371604,1.8125,1.5625,1.375
1480685823387145,1.125,1.0625,2
1480685823409705,0.375,0.625,1.4375
1480685823424243,-0.8125,-0.125,0.625
1480685823447305,-0.3125,-0.75,-0.0625
1480685823469364,-0.375,-0.875,-0.3125
1480685823484403,-0.6875,-0.8125,-0.5625
1480685823506964,-0.4375,-0.3125,-0.375
1480685823529528,0.4375,0.125,-0.0625
1480685823597705,0.75,0.5625,0.1875
1480685823600212,1,0.5625,0.5
1480685823629293,2.1875,-0.625,0.6875
1480685823634804,1.9375,-1.125,0.0625
1480685823649843,1.9375,-0.5625,-0.375
1480685823663881,2.4375,0.5,-0.125
1480685823686942,3.1875,1.4375,0
1480685823709502,3.375,1.8125,0
1480685823725044,3.125,1.875,0.125
1480685823747103,2.25,1.4375,0.1875
1480685823769161,1.1875,0.9375,0.0625
1480685823786206,0.5625,0.75,-0.1875
1480685823836840,1.3125,1.1875,0
1480685823857896,1.0625,0.8125,-0.0625
1480685823890984,0.4375,0,-0.5
1480685823896503,-0.625,-0.5625,-0.9375
1480685823898004,-0.875,-0.25,-0.1875
1480685823910536,0.5,0,0.9375
1480685823927080,1.4375,-1,1.9375
1480685823949641,1,-1.75,1.375
1480685823970696,-0.0625,-1.3125,0.6875
1480685823987742,0.6875,-0.125,0.4375
1480685824017321,1.875,0.5625,0.3125
1480685824030857,2.4375,1.375,0.4375
1480685824046899,1.875,1.125,0.25
1480685824091020,1.8125,1.125,0.125
1480685824152680,2.0625,1,-0.1875
1480685824155187,2.625,1.125,-0.25
1480685824159699,1.3125,0.75,-2.1875
1480685824173737,1.125,0.625,-2.375
1480685824189779,1.1875,0.5625,-2.4375
1480685824210835,0.75,0.3125,-2
1480685824226878,-0.125,0,-1.5
1480685824249439,-0.875,-0.4375,-1.25
1480685824271998,-0.375,-0.5,-0.8125
1480685824288040,0.0625,-0.8125,-0.625
1480685824323635,-0.5,-1.125,-0.875
1480685824330654,-1.625,-1.625,-1.6875
1480685824384798,-3.25,-2.3125,-3.1875
1480685824414878,-4,-2.125,-3.5
1480685824417385,-2.75,-1.625,-2.8125
1480685824432424,1.3125,-0.375,-2.125
1480685824457992,1.125,0.3125,-1.9375
1480685824467518,1.375,1.1875,-0.8125
1480685824489577,2.625,1.625,1
1480685824529183,3.6875,2,2.25
1480685824540713,2.375,1.5,1.5625
