timestamp,x,y,z
1480687862051040,-0.0385742,-0.895996,0.390137
1480687862056053,-0.0307617,-0.905273,0.386719
1480687862071597,-0.0234375,-0.891602,0.381348
1480687862080117,-0.0200195,-0.895508,0.379395
1480687862101678,-0.027832,-0.901855,0.381836
1480687862124234,-0.03125,-0.910156,0.380371
1480687862153382,-0.0385742,-0.915527,0.382813
1480687862161904,-0.0375977,-0.902832,0.380371
1480687862191984,-0.0327148,-0.890137,0.386719
1480687862245126,-0.0214844,-0.885254,0.386719
1480687862247131,-0.0244141,-0.89209,0.388672
1480687862274705,-0.0249023,-0.90332,0.387695
1480687862288240,-0.0366211,-0.912109,0.38623
1480687862311803,-0.0297852,-0.905273,0.38623
1480687862334364,-0.034668,-0.897461,0.382813
1480687862336870,-0.0302734,-0.891602,0.383301
1480687862350405,-0.0253906,-0.890625,0.390137
1480687862371962,-0.0292969,-0.891113,0.393555
1480687862393019,-0.0405273,-0.893555,0.394043
1480687862402043,-0.0415039,-0.904297,0.397949
1480687862438640,-0.0327148,-0.900879,0.386719
1480687862445158,-0.0288086,-0.881836,0.390137
1480687862469724,-0.0268555,-0.88623,0.38623
1480687862490277,-0.0297852,-0.895508,0.385254
1480687862523365,-0.0361328,-0.907227,0.38916
1480687862527376,-0.0371094,-0.904297,0.395508
1480687862547930,-0.034668,-0.897949,0.387695
1480687862566984,-0.0273438,-0.88916,0.383301
1480687862635165,-0.0224609,-0.88916,0.39209
1480687862637168,-0.0219727,-0.891602,0.385254
1480687862643685,-0.0317383,-0.906738,0.389648
1480687862647696,-0.0390625,-0.90625,0.393555
1480687862664240,-0.0336914,-0.902344,0.390625
1480687862687301,-0.03125,-0.890137,0.386719
1480687862701842,-0.0234375,-0.888184,0.384277
1480687862723898,-0.0249023,-0.893555,0.391602
1480687862749969,-0.03125,-0.903809,0.391602
1480687862775538,-0.0361328,-0.910156,0.386719
1480687862799600,-0.0341797,-0.902344,0.390625
1480687862823664,-0.0292969,-0.888672,0.392578
1480687862835195,-0.0283203,-0.882813,0.386719
1480687862844721,-0.027832,-0.888184,0.390137
1480687862888838,-0.0288086,-0.901367,0.388184
1480687862906388,-0.0380859,-0.904785,0.391602
1480687862911899,-0.0380859,-0.902344,0.399414
1480687862926939,-0.0366211,-0.89502,0.400391
1480687862940977,-0.0322266,-0.879395,0.404297
1480687862964539,-0.0297852,-0.87793,0.399902
1480687862994119,-0.0297852,-0.884766,0.40625
1480687863001140,-0.0380859,-0.896973,0.403809
1480687863024197,-0.0366211,-0.898926,0.40625
1480687863046757,-0.0317383,-0.89502,0.396484
1480687863082854,-0.0253906,-0.884766,0.391113
1480687863101406,-0.0214844,-0.877441,0.39209
1480687863115942,-0.0297852,-0.891113,0.395508
1480687863134995,-0.0366211,-0.898926,0.395508
1480687863146022,-0.0297852,-0.90332,0.392578
1480687863167078,-0.0380859,-0.90332,0.393555
1480687863187632,-0.0380859,-0.901855,0.389648
1480687863204176,-0.0200195,-0.891113,0.384766
1480687863227738,-0.0268555,-0.894531,0.387207
1480687863250300,-0.0288086,-0.899902,0.389648
1480687863270351,-0.0356445,-0.911621,0.387695
1480687863345052,-0.0385742,-0.912598,0.383789
1480687863392176,-0.0297852,-0.896973,0.387207
1480687863417245,-0.0292969,-0.897461,0.393066
1480687863422256,-0.0341797,-0.913574,0.387695
1480687863435291,-0.0302734,-0.907227,0.394043
1480687863444315,-0.0249023,-0.891113,0.387207
1480687863466876,-0.0283203,-0.881836,0.389648
1480687863487932,-0.0332031,-0.891113,0.393066
1480687863504477,-0.0341797,-0.896484,0.391602
1480687863527535,-0.0400391,-0.904785,0.391602
