timestamp,x,y,z
1480690430139803,-0.3125,0.1875,-0.3125
1480690430144817,-0.25,0.0625,0.0625
1480690430161361,0.625,0.1875,0.0625
1480690430183921,0.375,0.125,-0.0625
1480690430204480,-0.5,0.0625,-0.125
1480690430221019,-0.5,0.1875,0.0625
1480690430244081,0,0.0625,0.3125
1480690430272156,-0.125,0.1875,-0.1875
1480690430288702,-0.3125,0.0625,-0.3125
1480690430303740,-0.4375,-0.0625,-0.0625
1480690430326298,-0.5,-0.1875,0.25
1480690430341339,0,0.125,0.375
1480690430363900,0.6875,-0.0625,0.1875
1480690430384954,0.5,0.25,0.25
1480690430415034,-0.125,0.3125,0.1875
1480690430429573,-0.8125,0.125,0.4375
1480690430446117,-0.25,-0.0625,0.125
1480690430461157,-0.6875,0.125,0.0625
1480690430483717,-0.125,0.0625,-0.3125
1480690430505275,-0.625,0,-0.0625
1480690430527337,-0.8125,0.0625,0.125
1480690430543878,-1.25,0,0.1875
1480690430564933,-0.4375,0.0625,-0.3125
1480690430580976,-0.125,0.0625,-0.4375
1480690430619580,-0.5625,0.0625,0.3125
1480690430624592,-1.0625,0,0.5625
1480690430647152,-0.0625,0.0625,0.1875
1480690430663711,-0.375,-0.125,0
1480690430686257,-0.6875,0,0.375
1480690430701296,-0.6875,0.3125,0.8125
1480690430730373,1.1875,0.3125,0.0625
1480690430745915,-0.125,-0.375,-0.3125
1480690430774491,-1.3125,-0.25,0.1875
1480690430783516,0.5,0.125,0.125
1480690430806075,0.5625,0.125,0
1480690430827632,0.0625,-0.1875,-0.625
1480690430844176,-0.8125,-0.125,0.1875
1480690430866235,0.1875,0.1875,0.0625
1480690430887292,0.4375,-0.0625,-0.75
1480690430909851,-0.875,-0.3125,-0.0625
1480690430925893,-0.125,-1.125,-0.25
1480690430940433,-0.25,-0.0625,-0.6875
1480690430963494,-0.25,-0.625,0.25
1480690430994575,1.75,0.25,-0.5
1480690431000593,1.1875,-0.5625,-0.625
1480690431023654,-1.8125,-0.5625,0.125
1480690431046715,-0.375,-0.4375,-0.4375
1480690431060251,1.4375,0,-0.25
1480690431083814,1.75,-0.1875,-1
1480690431106486,-0.875,-0.5625,0.0625
1480690431128432,0.125,0.0625,-0.1875
1480690431144475,0.875,-0.375,-0.5
1480690431166032,0.625,-0.25,-0.3125
1480690431188593,0.375,-0.25,-0.25
1480690431205135,0.5,-0.0625,-0.4375
1480690431233713,0.5625,0.0625,-0.1875
1480690431247248,-0.625,0,0.25
1480690431271312,0.25,-0.25,-0.8125
1480690431293871,0.625,0.25,-0.375
1480690431306906,1.0625,-0.3125,-0.0625
1480690431330971,0.8125,-0.4375,-0.4375
1480690431347514,-0.8125,-0.375,-0.25
1480690431368070,-0.3125,-0.1875,-0.375
1480690431385114,1,-0.1875,-0.5625
1480690431413691,1.0625,0.125,-0.375
1480690431434747,-0.3125,-0.25,-0.0625
1480690431444773,0.125,0,0
1480690431466330,0.625,-0.0625,-0.25
1480690431487387,0.5,0,0.375
1480690431503933,1.5625,0.125,0
1480690431527493,0,-0.25,0.125
1480690431548550,-0.25,0.1875,-0.25
1480690431564090,0.8125,-1.25,-0.5625
1480690431586651,1.875,0.125,0.5
1480690431608709,0.5625,2.0625,0.875
1480690431623749,3.0625,-1.5,-1.4375
1480690431646309,-6.0625,-2.25,-0.3125
1480690431668369,-0.5,-0.125,0.5
1480690431683909,6.0625,1.5,0.25
1480690431706469,4.625,1.25,-0.875
1480690431736048,-2.875,-1.6875,-0.75
1480690431744571,-5.75,-0.75,1
1480690431766128,1.25,0.25,1.25
1480690431803730,6,0.625,-1.1875
1480690431805733,0.9375,-0.875,-0.5
1480690431826789,-1.3125,0.0625,-0.0625
1480690431856368,0.6875,-0.375,0.125
1480690431879429,-1.125,0.0625,0.1875
1480690431887454,1.3125,0.0625,-0.5
1480690431908507,1.1875,0.125,-0.1875
1480690431923045,1.875,-0.625,-0.25
1480690431946106,-0.5625,-0.375,-0.4375
1480690431968666,0.125,0,-0.1875
1480690431983210,1.375,0.125,0.125
1480690432006271,1.6875,-0.25,-0.1875
1480690432028832,-0.6875,-0.5,-0.0625
1480690432042869,0.1875,0.0625,0.0625
1480690432080970,2.125,0.125,-0.0625
1480690432103531,1.125,-0.1875,-0.25
1480690432134110,-1.3125,-0.25,-0.0625
1480690432136621,0,0.125,-0.0625
1480690432162686,1.75,-0.25,0.125
1480690432169705,1.6875,-0.4375,-0.375
1480690432186251,0.3125,-0.375,-0.5625
1480690432218336,-0.375,-0.25,-0.125
1480690432230869,-0.4375,-0.3125,0
1480690432246410,-0.375,-0.375,-0.4375
1480690432269472,0.8125,-0.125,-0.375
1480690432289524,1.0625,0.0625,0.1875
1480690432306068,1.1875,-0.0625,-0.0625
1480690432330633,-0.375,-0.1875,-0.5
1480690432358722,-0.875,0,-0.3125
1480690432372244,-0.1875,-0.0625,0.0625
1480690432388788,0.5,-0.125,0.125
1480690432411349,0.5,0.0625,-0.125
1480690432442432,0.6875,0,-0.0625
1480690432448948,1.5625,0.1875,0.1875
1480690432469503,0.1875,-0.125,0.1875
1480690432486047,-1.625,-0.125,-0.25
1480690432508607,-0.875,0.25,-0.5625
1480690432538688,0.625,0.125,0
1480690432546207,0.9375,0.0625,0
1480690432568767,-0.6875,0.125,-0.4375
1480690432591828,-1.0625,0.125,-0.375
1480690432627424,0.3125,0.125,0.1875
1480690432636449,0.1875,0,0.0625
1480690432658505,-0.0625,0.0625,-0.5
1480690432666026,-0.25,0.0625,-0.5
1480690432688585,0.5625,0.0625,-0.25
1480690432711146,0,0,0
1480690432725183,-0.75,-0.25,-0.1875
1480690432748745,0.3125,0,-0.375
1480690432771306,1.6875,0,-0.1875
1480690432785343,0.875,-0.125,0
1480690432808404,-0.375,-0.0625,-0.3125
1480690432830965,-1.125,-0.0625,-0.25
1480690432845503,0.625,-0.1875,-0.1875
1480690432869569,0.375,-0.25,-0.5
1480690432897641,0.4375,-0.0625,-0.6875
1480690432913684,0.1875,-0.1875,-0.0625
1480690432936244,0.375,0,-0.0625
1480690432968329,0,0.125,-0.0625
1480690432971839,-0.5,0.0625,-0.125
1480690432997407,1.125,0.125,-0.0625
1480690433010942,0.875,-0.0625,-0.0625
1480690433033502,0,-0.1875,-0.25
1480690433049545,-0.875,-0.4375,-0.1875
1480690433071103,-0.375,-0.3125,-0.25
1480690433092661,0.5,-0.125,-0.375
1480690433108702,0.5,-0.1875,-0.5
1480690433131263,0,-0.0625,-0.375
1480690433159838,0.125,-0.0625,0.0625
1480690433193428,-0.375,-0.25,-0.125
1480690433197942,-0.3125,-0.1875,-0.3125
1480690433215487,-0.125,0.0625,0.3125
1480690433228521,0.375,-0.0625,0
1480690433251081,0.25,0.0625,-0.3125
1480690433272137,0.1875,-0.125,-0.3125
1480690433288681,0.5,-0.1875,-0.0625
1480690433311241,0.125,-0.125,-0.25
1480690433332297,0.0625,-0.25,-0.625
1480690433355872,0.1875,-0.375,-0.1875
1480690433371401,0.625,-0.3125,-0.0625
1480690433391956,0.75,-0.125,-0.125
1480690433408513,0.5625,0,-0.125
1480690433438581,0.25,-0.125,0.1875
1480690433470165,-0.25,-0.125,-0.0625
1480690433491721,0.3125,-0.1875,0
1480690433495230,0.5,-0.3125,0.125
1480690433521300,0.9375,0,-0.125
1480690433538345,1.0625,-0.125,-0.1875
1480690433550879,0.25,-0.0625,0
1480690433573438,0,-0.125,-0.0625
1480690433588478,-0.3125,-0.25,-0.0625
1480690433611038,0.6875,-0.125,-0.1875
1480690433633600,1.25,-0.0625,-0.0625
1480690433648137,0.625,0,0
1480690433686740,-0.125,0.0625,0
1480690433688244,-0.3125,0.0625,-0.1875
1480690433699775,-0.125,0.0625,-0.1875
1480690433715316,-0.5,-0.125,-0.3125
1480690433745396,0.0625,0,-0.25
1480690433758931,0.125,-0.125,-0.0625
1480690433781492,0.125,-0.0625,-0.125
1480690433796532,0.625,0.0625,0
1480690433822099,0.3125,-0.125,-0.0625
1480690433835636,0.75,0.125,-0.3125
1480690433856691,0.875,-0.125,-0.0625
1480690433879253,0.5,-0.25,0.375
1480690433898803,0.125,-0.1875,-0.5
1480690433916350,-0.3125,-0.125,-0.6875
1480690433938911,0,-0.25,-0.5625
1480690433964479,0.5625,-0.25,-0.1875
1480690433976511,0.25,-0.0625,-0.5625
1480690434016117,0.8125,-0.125,-0.4375
1480690434019627,1.125,-0.3125,0
1480690434036676,0.5625,-0.1875,-0.5
1480690434059232,0.625,-0.1875,-0.625
1480690434075273,0.3125,-0.3125,0.125
1480690434096328,0.875,-0.25,-0.25
1480690434118890,0.9375,-0.125,-0.4375
1480690434136938,1.1875,-0.1875,-0.5
1480690434156489,2.0625,-0.1875,-0.1875
