timestamp,x,y,z
1479684173430992,0.625,-0.3125,0.25
1479684173453555,0.0625,-0.125,0.0625
1479684173474608,-0.375,-0.0625,0.375
1479684173491152,-0.375,0.0625,0.375
1479684173513712,0.0625,0.0625,0.25
1479684173534768,0.1875,0.0625,0.375
1479684173550810,0.125,0.0625,-0.0625
1479684173573370,-0.1875,-0.1875,0
1479684173594428,-0.1875,-0.0625,-0.3125
1479684173610970,0.5,-0.5625,-0.4375
1479684173633530,0.3125,0.25,0
1479684173654591,-0.3125,0.1875,0.25
1479684173671132,-0.375,0.375,-0.0625
1479684173693690,0.3125,-0.1875,-0.375
1479684173714746,0.4375,0.0625,-0.6875
1479684173730789,0.125,-0.0625,-0.4375
1479684173753349,0.0625,0.25,-0.0625
1479684173774405,0.1875,0,-0.25
1479684173790949,-0.0625,0.0625,0.0625
1479684173813509,-0.125,-0.125,-0.1875
1479684173834565,0.3125,-0.1875,-0.1875
1479684173857125,0.1875,-0.3125,-0.0625
1479684173873669,-0.0625,-0.125,0
1479684173895728,-1.5,0.0625,0.3125
1479684173910767,-1.0625,-0.25,0.8125
1479684173933328,0.5,-0.4375,1
1479684173955888,1.25,-0.0625,1
1479684173970928,1.1875,-0.375,0.875
1479684173993488,1.375,-2.0625,1.1875
1479684174016549,3.125,-2.25,0.25
1479684174031088,2.4375,-1.3125,-0.0625
1479684174053648,0.25,-0.5,0.375
1479684174076207,-0.5,-0.5625,0.4375
1479684174090245,1.6875,-1.625,-0.5
1479684174113307,3.6875,-0.75,-1.75
1479684174135867,1.125,0.4375,-2.25
1479684174156923,-0.875,0.5625,-1.625
1479684174173467,-0.5625,0.1875,-1.9375
1479684174196026,2.125,-0.6875,-1.625
1479684174210564,4.3125,-0.5,-1.3125
1479684174233627,3.9375,-0.0625,-0.375
1479684174256186,0.75,0.1875,0.125
1479684174270228,-0.125,-0.75,0.0625
1479684174293285,2.3125,-1.875,-0.1875
1479684174315845,3.4375,-1.25,0.3125
1479684174330384,1.6875,-0.125,1.0625
1479684174353445,-1.4375,0.25,3.0625
1479684174376005,-1.375,-0.3125,3.5
1479684174397061,1.1875,-0.9375,2.375
1479684174413605,2.625,-1.3125,2.0625
1479684174436167,1.9375,-1,1.8125
1479684174457221,1,-0.0625,2.0625
1479684174473264,3.0625,0.4375,1.3125
1479684174495823,1.5,0.0625,0
1479684174516880,0.0625,0.25,-0.5
1479684174533424,-1.4375,1.125,-1.375
1479684174555984,-0.8125,0.8125,-2.1875
1479684174577040,0.5,0.25,-2.1875
1479684174593584,1.6875,0,-2.25
1479684174616144,1.5,0.5,-2.1875
1479684174637200,1.125,0.6875,-1.5625
1479684174653242,-0.1875,0.8125,-1.5625
1479684174675802,-0.3125,0.5625,-2.125
1479684174696859,1.75,-0.3125,-1.9375
1479684174713403,2.5,-0.4375,-1.9375
1479684174735964,0.75,0.5625,-1.3125
1479684174757018,-0.5,0.6875,-1
1479684174773562,-0.75,0.375,-1.25
1479684174796122,0.3125,-0.1875,-0.875
1479684174817178,1.1875,0.25,-1.3125
1479684174833221,0.375,0.6875,-1.375
1479684174855788,0.625,0.1875,-1.25
1479684174878341,0.9375,-0.4375,-1.0625
1479684174893381,0.3125,-0.0625,-1
1479684174915942,0.9375,-0.125,-0.5625
1479684174944517,0.4375,0.0625,-0.1875
1479684174953544,-0.375,0.25,-0.3125
1479684174976106,0.1875,-0.0625,-0.125
1479684174998661,1.375,-0.25,-0.5625
1479684175012698,0.6875,0.125,-0.375
1479684175036264,-0.75,0.25,0.25
1479684175058320,-0.625,0.5,-0.4375
1479684175072859,0.375,0,-0.4375
1479684175095919,0.875,-0.0625,-0.6875
1479684175118483,0.5,-0.0625,0.0625
1479684175139536,-0.625,0.5625,0
1479684175156098,-0.25,0.375,-0.1875
1479684175178640,0.3125,-0.1875,-0.375
1479684175192677,0.125,0,-0.4375
1479684175216240,0.6875,0.1875,-0.0625
1479684175238307,0.5625,-0.1875,0
1479684175252838,-0.3125,0.0625,0.875
1479684175275899,-0.5,0.125,0.9375
1479684175298459,0.4375,0,0.375
1479684175312998,0,0.0625,0.0625
1479684175336060,-1.5,0.1875,0.0625
1479684175358619,-1.125,0.375,0.375
1479684175379675,-0.9375,0.4375,0.1875
1479684175395717,-0.375,0.0625,0.125
1479684175418277,0.625,0.0625,-0.1875
1479684175439333,-0.3125,0.25,-0.25
1479684175455878,-1.875,0.5625,0.375
1479684175478439,-0.875,0.25,0.375
1479684175499493,0.1875,0.1875,-0.1875
1479684175516037,0.125,0.25,0.0625
1479684175538598,-1.0625,0.25,0.5
1479684175559653,-1.0625,0.8125,0.3125
1479684175576197,-0.5625,0.4375,0.0625
1479684175598256,-1,0.375,0.25
1479684175619314,-0.625,0.3125,0.4375
1479684175635856,0.4375,0.1875,0.3125
1479684175658416,0.125,0.3125,0
1479684175679471,-1.5625,0.8125,0
1479684175696016,-1.9375,0.75,-0.3125
1479684175724591,-0.5625,0.3125,-0.3125
1479684175739631,0.0625,0.3125,-0.3125
1479684175756175,-0.3125,0.6875,-0.375
1479684175778735,-1.0625,0.8125,0.25
1479684175800797,-1.5625,0.5625,0.0625
1479684175815835,-0.5625,0.375,-0.1875
1479684175838395,0.6875,0.125,-0.0625
1479684175860954,-0.6875,0.375,0.0625
1479684175875997,-2,0.875,0.5625
1479684175898554,-2.625,1,0.6875
1479684175921115,-1.1875,0.25,0.875
1479684175935157,0.5,-0.1875,1
1479684175958714,-0.0625,0.1875,1.1875
1479684175980773,-1.375,0.5,1.625
1479684175995312,-2.5625,0.5625,1.875
1479684176018880,-1.375,-0.0625,1.5625
1479684176040933,0.375,-0.8125,1.0625
1479684176055471,0.6875,-0.625,1.375
1479684176078537,-1.6875,0.1875,1.8125
1479684176102599,-3.1875,0.3125,1.3125
1479684176115130,1.0625,-0.5625,0.8125
1479684176138693,0.75,1.5625,0
1479684176160751,-5,1.875,0.6875
1479684176175291,-3.1875,-0.375,1.125
1479684176198352,2,-1.125,0.0625
1479684176220912,2.8125,-0.25,0.0625
1479684176235453,-1.375,0.625,1
1479684176258513,-3.375,0.875,1.5625
1479684176281072,-1.75,0.875,-0.0625
1479684176302132,0.1875,0.25,-1.75
1479684176318675,0.375,-0.5,-2.125
1479684176341231,0.625,-0.5625,-1.5
1479684176361786,0.9375,0.5,-1.375
1479684176378331,-0.6875,1.0625,-1.5625
1479684176400891,-2.25,0.625,-1.6875
1479684176421946,-1.4375,0.0625,-1.6875
1479684176438491,1,0.125,-2.25
1479684176461051,1.125,-0.125,-2.625
1479684176482106,-1.625,0.3125,-2.125
1479684176498650,-2.0625,0.4375,-1.75
1479684176521212,-0.125,0,-1.375
1479684176541765,1.1875,-0.25,-1.125
1479684176558311,0,-0.0625,-1
1479684176580870,-1.5625,0.3125,-0.5625
1479684176601925,-1.4375,0,-0.875
1479684176618472,0,-0.3125,-0.8125
1479684176641029,0.9375,-0.5,-0.9375
1479684176662085,0.4375,-0.8125,0.0625
1479684176678629,-0.5,0.25,0.4375
1479684176701693,-1.375,0.25,0.4375
1479684176722252,-0.3125,-0.3125,0.25
1479684176738290,0.875,-0.8125,-0.125
1479684176760849,0.625,-0.625,-0.25
1479684176783407,-0.5,0.1875,-0.125
1479684176798447,-1.125,0.25,0.125
1479684176821008,-0.5,0.0625,-0.125
1479684176843568,0.3125,-0.1875,-0.5625
1479684176858608,0.125,-0.0625,-0.5
1479684176881168,-0.1875,-0.125,-0.5
1479684176910747,0,0.0625,-0.25
1479684176917766,0.5,0.0625,-0.375
1479684176940826,0.125,0.0625,-0.375
1479684176963386,-0.5625,0.25,-0.125
1479684176977925,0.0625,0,-0.375
1479684177000986,0.125,0.25,-0.4375
1479684177023546,0.375,0,-0.5625
1479684177037584,-0.1875,0.3125,-0.5
1479684177061147,-0.3125,0.25,-0.4375
1479684177083205,0.0625,0.125,-0.125
1479684177097744,0.375,0.0625,-0.4375
1479684177120805,0.0625,0.3125,-0.9375
1479684177143365,-1.25,0.5,-0.875
1479684177157903,-1.0625,0.25,-0.6875
1479684177180966,1.375,-0.5625,-1.125
1479684177203023,1.3125,-0.0625,-0.8125
1479684177217562,-0.75,0.25,-0.375
1479684177248645,-1,0.375,-0.6875
1479684177263686,0.125,0.0625,-0.875
1479684177293264,0.1875,0,-0.6875
1479684177306800,0.0625,-0.3125,-0.3125
1479684177323344,0.875,0.125,-0.3125
1479684177353424,0.1875,0.125,-0.25
1479684177360944,-1.1875,0.25,0.25
1479684177383504,-1.25,0.25,0.1875
1479684177404560,-0.1875,0.0625,0
1479684177421104,0.5,-0.125,-0.1875
1479684177443664,0.25,-0.0625,-0.1875
1479684177464720,-0.625,0.1875,-0.0625
1479684177480762,-0.4375,0.1875,0.125
1479684177503322,0.0625,-0.125,-0.3125
1479684177524378,0.4375,-0.125,-0.25
1479684177540923,-0.5625,0.1875,-0.1875
1479684177563483,-0.5,0,-0.0625
1479684177584539,-0.0625,0.125,-0.25
1479684177601082,-0.25,0.0625,-0.3125
1479684177623642,-0.1875,0.0625,0.1875
1479684177644698,0.125,-0.125,-0.1875
1479684177660741,-0.3125,-0.0625,-0.1875
1479684177683301,-0.6875,0.25,-0.0625
1479684177705863,-0.4375,0.125,-0.1875
1479684177720903,-0.25,0,-0.125
1479684177743461,0.1875,-0.125,0.0625
1479684177766021,0.8125,-0.125,-0.1875
1479684177781062,-0.0625,-0.125,-0.1875
1479684177811141,-1,0.125,-0.25
