timestamp,x,y,z,w
1479684173430992,-0.0217285,-0.0802612,-0.983887,-0.158569
1479684173453555,-0.0217285,-0.0802612,-0.983887,-0.158569
1479684173474608,-0.0217285,-0.0802612,-0.983887,-0.158569
1479684173491152,-0.0217285,-0.0802612,-0.983887,-0.158569
1479684173513712,-0.0216675,-0.0802002,-0.983887,-0.158569
1479684173534768,-0.0216675,-0.0802002,-0.983887,-0.158569
1479684173550810,-0.0217285,-0.0802002,-0.983887,-0.158569
1479684173573370,-0.0216675,-0.0801392,-0.983887,-0.158569
1479684173594428,-0.0216675,-0.0801392,-0.983887,-0.158569
1479684173610970,-0.0216675,-0.0801392,-0.983887,-0.158569
1479684173633530,-0.0216675,-0.0801392,-0.983887,-0.158569
1479684173654591,-0.0216675,-0.0800781,-0.983887,-0.158569
1479684173671132,-0.0216675,-0.0801392,-0.983887,-0.158569
1479684173693690,-0.0216675,-0.0800781,-0.983887,-0.158569
1479684173714746,-0.0216675,-0.0800781,-0.983887,-0.158569
1479684173730789,-0.0216675,-0.0800781,-0.983887,-0.158569
1479684173753349,-0.0216675,-0.0800781,-0.983887,-0.158569
1479684173774405,-0.0216675,-0.0800171,-0.983887,-0.158569
1479684173790949,-0.0216675,-0.0800781,-0.983887,-0.158569
1479684173813509,-0.0216675,-0.0800781,-0.983887,-0.158569
1479684173834565,-0.0216675,-0.0800171,-0.983887,-0.158569
1479684173857125,-0.0216675,-0.0800781,-0.983887,-0.158569
1479684173873669,-0.0216675,-0.0800781,-0.983887,-0.158569
1479684173895728,-0.0215454,-0.0797729,-0.983948,-0.158508
1479684173910767,-0.0217285,-0.0796509,-0.983948,-0.158325
1479684173933328,-0.0218506,-0.0797119,-0.984009,-0.158142
1479684173955888,-0.0217896,-0.079834,-0.984009,-0.15802
1479684173970928,-0.0217896,-0.0802002,-0.984009,-0.157837
1479684173993488,-0.0222168,-0.0803223,-0.984009,-0.157654
1479684174016549,-0.0227661,-0.0806274,-0.984009,-0.157593
1479684174031088,-0.0233765,-0.0811157,-0.983948,-0.157593
1479684174053648,-0.0233765,-0.0811157,-0.983948,-0.157593
1479684174076207,-0.0233154,-0.0809937,-0.983948,-0.157593
1479684174090245,-0.0236816,-0.0811157,-0.983887,-0.157715
1479684174113307,-0.0239258,-0.081665,-0.983826,-0.15802
1479684174135867,-0.0236816,-0.0817871,-0.983765,-0.158386
1479684174156923,-0.0233765,-0.081604,-0.983704,-0.15863
1479684174173467,-0.0233154,-0.0814819,-0.983704,-0.158997
1479684174196026,-0.0234375,-0.081604,-0.983643,-0.159241
1479684174210564,-0.0237427,-0.0824585,-0.983521,-0.159424
1479684174233627,-0.0240479,-0.083374,-0.983398,-0.159485
1479684174256186,-0.0240479,-0.083374,-0.983398,-0.159485
1479684174270228,-0.0240479,-0.083374,-0.983398,-0.159485
1479684174293285,-0.0244751,-0.0838013,-0.983398,-0.159485
1479684174315845,-0.0248413,-0.0842285,-0.983337,-0.159424
