timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1480098842254396,-3,-4,-9,-5,-4,-4,-5,-4
1480098842254396,1,-1,10,5,1,1,3,1
1480098842255398,2,1,3,-1,2,3,-1,1
1480098842255398,-2,-3,10,2,2,1,2,-1
1480098842276493,-3,-3,-5,-2,0,-5,-3,-3
1480098842276493,0,1,3,1,-1,2,2,2
1480098842277457,-5,-2,-3,2,4,5,5,2
1480098842277457,4,4,6,1,-5,-2,-3,-5
1480098842291520,1,2,5,-2,-3,-7,-10,-1
1480098842291520,-4,-3,-3,-2,-5,4,17,-2
1480098842299539,0,-1,-4,1,1,-6,-6,-1
1480098842299539,2,1,3,-1,-1,-1,-2,2
1480098842314589,-12,-1,-12,-1,-1,-2,-7,0
1480098842314589,1,-1,-6,-1,0,0,-6,0
1480098842315559,-1,0,2,0,1,-3,-1,-2
1480098842315559,0,-1,-2,-3,-5,-1,-1,0
1480098842337168,5,2,7,0,-2,-2,-2,2
1480098842337168,-4,-1,0,0,0,0,-6,-1
1480098842338191,-2,-1,-2,-1,6,4,5,1
1480098842338191,-3,-2,-7,3,3,2,-3,1
1480098842360229,1,1,3,0,-3,0,3,-2
1480098842360229,1,0,-1,-2,-3,-4,-3,0
1480098842361260,1,-4,-7,-5,-6,-5,-4,-3
1480098842361260,-2,-1,2,-2,-5,-8,-16,0
1480098842374266,1,1,0,4,11,15,22,-2
1480098842374266,3,2,-1,-2,0,5,5,1
1480098842375270,-1,-1,-9,-4,-4,-5,-4,-1
1480098842375270,-3,1,11,4,-3,-4,-2,0
1480098842397329,0,-2,0,-3,-4,-3,-5,-1
1480098842397329,-3,-1,0,-2,2,0,-7,-4
1480098842397329,2,2,2,3,11,6,11,-2
1480098842397329,-2,-1,-7,-2,4,7,9,6
1480098842420458,7,-1,-6,-2,-3,-8,-9,-2
1480098842420458,0,-2,2,-5,-11,-5,1,-2
1480098842420958,1,0,5,-1,-7,-7,-7,-1
1480098842420958,-2,-2,-20,-5,1,2,9,-4
1480098842434058,2,4,6,5,7,7,-2,2
1480098842434058,0,-4,-5,-2,-1,-1,4,0
1480098842435008,-13,0,2,-2,-4,-3,-8,-2
1480098842435008,7,-1,-2,1,-4,-3,-2,-2
1480098842465109,-1,-2,3,-1,-1,-5,-2,3
1480098842465109,-4,0,-4,-2,2,-5,-14,-11
1480098842466092,5,1,1,0,-3,3,5,7
1480098842466092,-3,1,2,3,9,9,3,-2
1480098842480129,1,-1,-3,-2,-2,-1,2,1
1480098842480129,2,-1,0,0,-4,-1,-5,3
1480098842481131,-3,-2,-4,-1,-10,-8,-2,-3
1480098842481131,-2,0,0,-5,-1,-3,-3,-1
1480098842494166,-2,-1,1,2,2,2,4,-2
1480098842494166,0,1,1,1,4,3,0,2
1480098842495167,0,0,-3,-1,3,3,-2,-3
1480098842495167,1,-1,-2,-4,-7,2,4,3
1480098842517261,-4,-3,0,-2,-2,-3,-1,0
1480098842517261,-3,2,-2,0,-3,-5,-2,1
1480098842517765,-1,-2,0,1,2,-2,-5,0
1480098842517765,1,2,3,2,-1,-4,-6,-3
1480098842540329,0,-1,0,-3,-4,-3,6,0
1480098842540329,-1,-2,-16,-3,4,1,1,3
1480098842541333,0,-1,0,-1,2,5,1,2
1480098842541333,2,0,5,3,2,0,-1,-1
1480098842554375,-3,0,-2,-2,-10,-3,-1,-3
1480098842554375,-6,-2,1,0,2,-4,-17,-11
1480098842555368,5,2,8,3,7,7,23,17
1480098842555368,-4,-4,-15,-3,-1,4,6,-5
1480098842577443,-4,3,8,2,0,-1,6,1
1480098842577443,0,1,0,-1,-4,0,3,1
1480098842577443,0,-2,6,4,-3,-5,-8,-9
1480098842577443,0,1,-6,-3,-2,-7,-7,-1
1480098842600486,-1,-1,6,2,3,2,1,0
1480098842600486,2,-1,0,2,2,6,5,3
1480098842601489,-1,-1,-1,-3,0,-1,-6,-4
1480098842601489,-4,-3,0,0,-4,-4,1,1
1480098842614525,-1,-3,-9,-4,-1,-10,-13,-7
1480098842614525,0,-2,4,2,-6,5,10,7
1480098842615530,3,-1,-1,0,4,2,0,-1
1480098842615530,-1,0,3,0,0,-5,-12,-5
1480098842637337,1,1,8,5,5,9,8,5
1480098842637337,2,-3,-8,-4,-6,-4,-5,-4
1480098842637337,-2,-1,-4,0,-5,-3,7,0
1480098842637337,-1,-1,-3,-5,-4,-3,-7,-2
1480098842660361,-4,-2,-5,-4,-3,-1,-4,-3
1480098842660361,2,3,16,7,0,4,12,3
1480098842661365,-4,-1,-14,0,11,5,-8,-7
1480098842661365,4,1,0,-1,-3,0,2,4
1480098842674424,1,-3,-1,-9,-4,-1,-4,-2
1480098842674424,0,0,3,3,5,2,-3,5
1480098842675402,-5,-1,-3,-6,-6,-2,-2,-1
1480098842675402,2,3,12,2,1,3,3,2
1480098842696484,-2,-3,-20,-4,0,-2,-7,-3
1480098842696484,3,-1,4,-1,-3,-4,9,5
1480098842697478,2,-1,0,1,-1,-1,-5,-2
1480098842697478,-4,-3,-6,0,-1,-1,0,1
1480098842719523,2,2,8,4,-3,0,-3,-3
1480098842719523,-1,1,-2,0,1,-2,-1,-2
1480098842727046,1,-1,6,1,4,5,-1,0
1480098842727046,-3,-1,0,-2,1,-2,6,0
1480098842734571,2,0,2,2,6,3,1,3
1480098842734571,-4,-2,-4,-4,-4,-4,-5,-3
1480098842735574,0,-1,4,-1,-8,-6,-5,1
1480098842735574,-1,-1,-2,0,4,3,-1,-2
1480098842756633,-2,-2,1,3,4,0,1,2
1480098842756633,1,3,-4,-3,-2,-1,1,-3
1480098842757633,0,0,-6,-4,-5,-3,-1,2
1480098842757633,2,-1,-1,1,2,-2,1,0
