timestamp,x,y,z
1480098842224811,-1.3125,-1.375,-1.4375
1480098842240358,-2.3125,-1.625,-1.6875
1480098842261424,-0.3125,-2.375,-0.6875
1480098842283475,0.125,-2.75,-1.4375
1480098842300520,0.625,-2.1875,-1.875
1480098842321598,-0.1875,-2.3125,-1.625
1480098842344218,-0.5625,-1.6875,-1
1480098842361260,-0.875,-0.9375,-1.1875
1480098842389308,-0.25,-0.9375,-0.875
1480098842403351,-2.4375,-1.6875,-1.4375
1480098842421959,-0.5,-1.4375,-0.25
1480098842441077,2.0625,-0.4375,-0.375
1480098842467093,2.5625,-0.0625,-1.0625
1480098842482134,2.9375,0.75,-0.6875
1480098842501185,0.5,0.8125,-0.125
1480098842524282,-0.5,0,-0.0625
1480098842541333,1.9375,0.1875,-0.125
1480098842561383,1.9375,0.1875,-1.8125
1480098842583443,0.625,0.1875,-1.4375
1480098842602494,-0.375,0.5625,0.0625
1480098842621601,-0.625,0.5625,0.875
1480098842644319,0.25,1.4375,-0.375
1480098842661365,-1.25,1.625,-1.3125
1480098842681417,-1.1875,0.9375,-0.625
1480098842703489,-0.125,0.25,-0.1875
1480098842728548,1.375,0.375,0.375
1480098842741590,1.5,0,1.0625
1480098842763650,0.5,-0.0625,1.125
1480098842786709,0.3125,-0.1875,1.375
1480098842801750,2.1875,0.5625,1.25
1480098842823811,2.3125,0.6875,1.25
1480098842846669,-0.5625,0.1875,1.3125
1480098842861700,-1.5625,-0.125,1.4375
1480098842883760,-0.875,0.125,1.875
1480098842906819,-0.1875,0.8125,1.0625
1480098842921414,-2,1.0625,-0.1875
1480098842943644,-2.9375,0.3125,0
1480098842966707,-1,-0.25,-0.0625
1480098842982711,-0.1875,-0.0625,-0.0625
1480098843003796,-1.0625,-0.25,-0.0625
1480098843026856,-0.375,-0.125,0.4375
1480098843044762,0.5625,0.0625,0.3125
1480098843063777,0.4375,0.25,0.0625
1480098843085835,-0.6875,-0.0625,0.125
1480098843109899,-1.6875,-0.75,-0.3125
1480098843123943,-0.125,-0.375,0.125
1480098843146587,-0.3125,-0.9375,0.5625
1480098843162628,-0.1875,-1.125,0
1480098843183685,0.25,-1.25,-0.1875
1480098843206746,0.75,-1,-0.375
1480098843223297,0.9375,-0.375,-0.4375
1480098843251373,0.125,-0.625,-0.9375
1480098843266462,0,-0.625,-0.125
1480098843284467,1.25,-0.0625,0.375
1480098843303541,1.9375,0.5,0.875
1480098843326590,1.125,0.75,0.625
1480098843344488,0.1875,0.9375,0.75
1480098843363574,0.4375,0.8125,1.125
1480098843386599,1.375,0.8125,1.0625
1480098843404646,2.125,0.8125,1.125
1480098843424201,2.125,1,1.125
1480098843446771,1.9375,1.125,1.1875
1480098843463818,1.1875,0.0625,0.75
1480098843483870,1.9375,-0.25,0.4375
1480098843505928,2.5625,0.5,0.6875
1480098843528994,2.8125,1.0625,1.1875
1480098843544041,0.125,0.9375,1
1480098843566093,-1.4375,0.75,0.125
1480098843589156,-0.625,0.5625,-0.625
1480098843604195,1.0625,-0.0625,-0.4375
1480098843626255,0.375,-0.4375,0.375
1480098843643897,-0.8125,-0.6875,0.75
1480098843663950,-0.6875,0.5,0.625
1480098843686029,-0.6875,0.4375,0.125
1480098843704077,-0.6875,0.5,0
1480098843724114,-1.625,-0.0625,-0.3125
1480098843746185,-0.5625,-0.125,-0.1875
1480098843764231,1.25,-0.125,-0.3125
1480098843786290,1.6875,0,0.0625
1480098843806345,1.75,1.375,0.125
1480098843824398,1.6875,3.5,0
1480098843844184,2.375,4.875,0.125
1480098843866170,2.1875,4.9375,0.1875
1480098843884216,1.25,4,0.8125
1480098843904271,1.875,3.875,1.375
1480098843926332,1.6875,4.75,1.6875
1480098843943959,1.75,5.25,1.9375
1480098843965025,1.5,5.0625,2.4375
1480098843986092,3.0625,3.5625,2.6875
1480098844004115,4.3125,2.4375,2.3125
1480098844025675,3.1875,0.4375,1.625
1480098844046472,0.8125,-0.375,1.125
1480098844068535,-0.375,-1,0.8125
1480098844092593,-2,-1,1.0625
1480098844106641,-3.625,-1.6875,0.4375
1480098844124682,-2.375,-2.0625,1.1875
1480098844145714,-0.6875,-1.5,0.5625
1480098844166738,-1.5625,-1.25,-0.6875
1480098844188796,-1.9375,-1,-0.9375
1480098844204911,-2.75,-1,-1.0625
1480098844226399,-2.625,-0.9375,-0.625
1480098844248977,-1.75,-0.8125,-1.5
1480098844267044,0.3125,0,-1.4375
1480098844286077,-0.0625,-0.75,-1.5
1480098844309176,-2.375,-2.625,-1.0625
1480098844327192,-3.3125,-3.0625,-0.75
1480098844346799,-3,-3.5625,-0.875
1480098844368871,2.25,-3.8125,-2.1875
1480098844386881,5.875,-5.375,-3.6875
1480098844406001,2.375,-6.3125,-2.125
1480098844428997,1.0625,-5.5625,1.125
1480098844446549,-2.5,-4.375,-0.3125
1480098844466651,-2.4375,-3.25,-0.6875
1480098844490664,-0.0625,-3.1875,-0.75
1480098844506709,-0.625,-2.3125,-1.75
1480098844526290,-0.5,-0.5625,-1.8125
1480098844548372,-1,0.875,-0.9375
1480098844566420,-2.4375,1.875,-1.25
1480098844593493,-3.3125,1.8125,-1.1875
1480098844611550,-3.25,1.625,-1.5625
1480098844627097,-3.0625,1.375,-1.9375
1480098844646271,-2.8125,0.375,-2.5625
1480098844669288,-3.8125,-0.125,-2.5625
1480098844686354,-3.9375,-0.75,-1.1875
1480098844706387,-4,-1.5,-0.5625
1480098844728988,-3.4375,-2.0625,-0.4375
1480098844747176,-1.625,-2.125,-0.1875
1480098844766215,-0.375,-2,-0.8125
1480098844789263,0.1875,-2.25,-0.4375
1480098844806329,-0.3125,-2.625,-0.5
1480098844826411,0.75,-2.75,-0.9375
1480098844848458,1.75,-2.4375,-1.0625
1480098844866506,2.0625,-1.75,-1.3125
1480098844887566,0.5,-1.625,-1.4375
1480098844916638,-0.4375,-1.0625,-2
1480098844934240,-1,-1.0625,-2
1480098844947870,-1.125,-0.375,-1.75
1480098844968966,-1.375,-0.1875,-1
1480098844986974,-1.875,-0.4375,-0.75
1480098845008043,-2.625,-0.8125,-0.3125
1480098845029088,-2.8125,-0.5625,0
1480098845046758,-1.625,0.25,0.3125
1480098845067799,-1.3125,0.25,0.75
1480098845088855,-0.4375,1,1
1480098845113924,-1.375,1.375,2.25
1480098845127974,-0.875,1.3125,1.8125
1480098845150625,3.875,1.25,-0.4375
1480098845166668,4.125,-0.25,-2.5625
1480098845187723,2.5625,0,-1.0625
1480098845208779,0.5625,-0.4375,1.0625
1480098845226830,-1.5,-0.1875,0.3125
1480098845248891,-1,-0.125,1
1480098845268944,1,-0.6875,1.1875
1480098845294010,0.375,-1.3125,0.375
1480098845309050,-0.625,-2.125,-0.5
1480098845330613,-0.6875,-2.3125,0.125
1480098845346687,0.375,-2.4375,0.8125
1480098845368748,1.8125,-1.75,0.4375
1480098845388800,2.9375,-1.625,0.75
1480098845406847,1.875,-0.9375,-0.375
1480098845429429,-0.0625,-0.9375,0.125
1480098845449174,-0.125,-0.375,0
1480098845471229,-0.3125,0.125,-0.4375
1480098845489277,0.375,0.5,-0.1875
1480098845508345,-0.0625,0.6875,-1.4375
1480098845526878,-0.75,0.375,-0.5625
1480098845549002,-1.0625,0.5,-0.75
1480098845569057,-0.6875,1.4375,-0.8125
1480098845587106,-1.1875,1.125,-0.75
1480098845611168,-2,0.9375,-0.625
1480098845629235,-2.1875,0.4375,-0.125
1480098845650916,-1.3125,0.375,0.125
1480098845668964,0.1875,-0.375,0.6875
1480098845689016,0.1875,-1.125,1.375
1480098845711076,0.0625,-1.5625,1.75
1480098845736705,0.4375,-1.1875,1.5625
1480098845748756,1.1875,-0.5625,1.375
1480098845771797,1.3125,0.1875,1
1480098845788844,-0.125,-0.0625,1.25
1480098845808905,-0.5625,-0.75,0.9375
1480098845831460,-0.0625,-0.8125,-0.0625
1480098845849141,0.5625,-0.875,-0.4375
1480098845879219,0.375,-0.1875,-0.5
1480098845891273,-0.5,0.5,-0.8125
1480098845916316,-1.9375,0.4375,-1.3125
1480098845930383,-1.5625,0.0625,-0.4375
1480098845951442,-1.1875,-0.4375,0.4375
1480098845976507,-1.125,-0.5,1.375
1480098845997565,-1.6875,-0.625,2
1480098846011626,-0.875,-0.375,2
1480098846036174,1.6875,-0.3125,1.1875
1480098846050374,3.4375,-0.1875,0.0625
1480098846071432,3.4375,-0.1875,-0.625
1480098846089479,0.3125,0.75,0.625
1480098846110536,-1.9375,0.9375,1.5
1480098846131595,-2.1875,1.625,0.25
1480098846149353,0.75,1.3125,-0.1875
1480098846171401,1.5625,0.9375,-0.6875
1480098846191487,0.0625,0.8125,-1.0625
1480098846209496,-0.625,-0.0625,-0.8125
1480098846232107,-0.375,0,-1.125
1480098846251194,1,0.4375,-0.375
1480098846275258,1.3125,0.125,0.125
1480098846291301,0.1875,0.125,0.125
1480098846311353,0.4375,0,0.25
1480098846329916,0.25,0.25,0.5625
1480098846351668,0.875,0.625,0.5625
1480098846371722,1.0625,0.5,0.75
1480098846388777,0.875,0.5,1.25
1480098846411827,0.5,0.625,1
1480098846431401,0.4375,0.875,0.9375
1480098846448954,0.4375,0.0625,0.4375
1480098846472015,0.0625,-0.375,0.1875
1480098846491110,0.75,-0.5,0.1875
1480098846509113,1.8125,-0.25,-0.0625
1480098846532198,2.625,0.3125,-0.1875
1480098846551326,2.125,0.75,0
1480098846569387,0.0625,0.375,0.5625
1480098846591433,-1.1875,0.375,1.0625
1480098846611486,-0.3125,0.8125,1.125
1480098846629539,0.5625,1.3125,0.75
1480098846651671,1.125,1,0.6875
1480098846671765,0.4375,0.8125,0.75
1480098846688770,-0.4375,0.6875,0.875
1480098846711833,0.5625,0.4375,0.875
1480098846731428,2.1875,1.0625,0.625
1480098846749618,1.9375,0.6875,-0.375
1480098846771678,1.8125,0.375,0
1480098846792734,4.125,1.3125,-0.75
1480098846808778,3.8125,1.75,0.0625
1480098846839524,2.625,2.3125,2.25
1480098846852558,2.3125,2.625,4
1480098846869604,3.5625,3.125,4.125
1480098846891663,6.5625,3.3125,4.125
1480098846912718,7.3125,3.6875,3.625
1480098846929266,5.1875,3.25,3.375
1480098846951422,3.125,3.125,3.125
1480098846972479,2.875,2.75,3
1480098846989524,3.625,2.5625,2.25
1480098847011581,3.5625,2.0625,1.75
1480098847033191,2.5,1.625,1.5
1480098847049358,0.375,1,0.75
1480098847071412,-0.75,0.5,0.375
1480098847092473,-0.9375,-0.25,0.375
1480098847109534,0,-1.125,-0.0625
1480098847132583,0.5625,-1.25,-1.125
1480098847154303,1.5,-1.75,-1.1875
1480098847173353,0.6875,-1.6875,-1.3125
1480098847191421,-1.25,-2,-1.3125
1480098847214462,-1.4375,-2,-1.3125
1480098847234048,-2.25,-1.25,-1.5625
1480098847252163,-2.3125,-1.25,-0.4375
1480098847274211,0.5,-0.75,-0.625
1480098847294278,-1.9375,-0.5,-2.5
1480098847311307,-2.5,-0.6875,-1.0625
1480098847334419,-3.1875,-1,-1.25
1480098847354082,-3.625,-0.25,-0.75
1480098847372122,-5.1875,-0.5625,-1.4375
1480098847394180,-5.5625,-1.25,-1.5
1480098847414233,-4.8125,-1.5625,-1.5625
1480098847431780,-4.9375,-1.6875,-1.75
1480098847454035,-5.4375,-1.875,-2.5625
1480098847474105,-5.6875,-2.125,-2.4375
1480098847492199,-4.1875,-1.5,-2.6875
1480098847514199,-2.5625,-0.8125,-2.9375
1480098847541006,-2.9375,-1.5625,-2.75
1480098847551997,-2.4375,-2.1875,-2.1875
1480098847573104,-3,-1.8125,-2.1875
1480098847594163,-2.5625,-0.5625,-2.125
1480098847611155,-1.75,0.9375,-1.9375
1480098847633719,-2.375,1.25,-1.6875
1480098847654082,-2.5,2.125,-1.0625
1480098847671127,-1.6875,3.5625,-0.875
1480098847701220,0.3125,4.625,-0.1875
1480098847714241,1,4.5625,1.1875
1480098847731299,3.0625,5.125,1.0625
1480098847753923,2.8125,5.5,1.75
1480098847773971,2.625,6.5,2.1875
