timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1480098267550332,0,-1,-7,-2,-1,-1,-2,0
1480098267550332,1,-1,0,0,1,0,-1,-1
1480098267551835,0,0,3,1,1,-2,0,-1
1480098267551835,1,-3,-13,-4,1,1,-1,0
1480098267564370,2,2,1,0,-2,-1,-1,0
1480098267564370,0,-3,2,0,0,-1,0,-1
1480098267571387,-3,0,-7,-2,0,-1,-1,-1
1480098267571387,-1,-2,2,1,-2,-1,0,-1
1480098267587932,-1,2,3,0,3,1,1,0
1480098267587932,0,-3,-6,-2,-2,-2,0,0
1480098267589436,-3,0,5,0,1,-2,0,-1
1480098267589436,-1,0,2,0,-1,-2,-2,-1
1480098267610502,-1,-4,-2,-3,-3,2,2,-2
1480098267610502,-2,-1,-1,0,-2,-3,-1,2
1480098267611997,0,1,1,4,1,2,-1,-1
1480098267611997,0,-2,-3,-2,-1,0,-1,-1
1480098267624529,-1,4,-4,-1,-2,-1,-2,-1
1480098267624529,-1,-1,3,0,-2,-1,-2,-1
1480098267631547,-1,-2,-7,-3,0,-1,-1,1
1480098267631547,1,-2,2,0,1,1,-1,-1
1480098267647591,-2,-1,2,0,0,-2,-1,-1
1480098267647591,-1,0,0,-1,3,0,0,-1
1480098267649596,0,-1,2,0,-3,0,0,-1
1480098267649596,-1,-1,-4,-2,0,-1,-2,-2
1480098267670652,0,-1,4,-3,-1,1,2,1
1480098267670652,-2,-2,-7,0,-2,-1,-2,-1
1480098267672156,-1,-1,5,-3,0,-3,-1,-1
1480098267672156,-2,0,-2,2,0,-2,1,-2
1480098267692710,1,-3,-1,-2,1,-1,-1,-1
1480098267692710,0,0,3,0,-1,-1,0,0
1480098267694717,0,-3,-1,0,-1,1,-1,-1
1480098267694717,-1,5,0,0,-1,-1,-2,0
1480098267707750,-1,0,1,-2,-2,-2,0,-1
1480098267707750,-1,-2,-1,-3,-1,-1,-1,1
1480098267709254,-2,-1,-5,-2,-4,-1,1,-1
1480098267709254,-1,-2,2,-2,-1,-1,0,-1
1480098267730310,-1,-1,-2,1,-1,0,-1,2
1480098267730310,0,1,-7,-1,-1,0,-3,0
1480098267731814,0,-1,7,-2,-2,-1,0,-1
1480098267731814,1,-1,-4,-1,-1,-1,1,-2
1480098267743859,0,1,6,0,1,-1,-1,-1
1480098267743859,1,0,-3,1,-1,1,0,0
1480098267752871,0,-2,0,-1,0,-1,-1,-1
1480098267752871,-1,-1,2,0,1,1,-1,0
1480098267767911,-1,1,-1,1,-2,-3,-2,-1
1480098267767911,0,-1,3,1,-1,1,2,-1
1480098267769446,-2,0,-2,-3,-1,0,-1,-1
1480098267769446,-2,0,2,-1,-2,-1,1,-1
1480098267789489,-1,-2,-7,1,1,0,1,-1
1480098267789489,-1,-3,-8,-3,0,0,-1,-1
1480098267797990,-1,3,-3,1,-2,0,0,-1
