timestamp,x,y,z
1480098267550833,-0.0625,0.25,0.0625
1480098267565372,-0.25,0.25,0.125
1480098267588435,-0.3125,0.25,-0.0625
1480098267610997,-0.3125,0.3125,0.0625
1480098267625532,-0.0625,0.25,-0.0625
1480098267648594,0.125,0,-0.0625
1480098267671654,-0.125,0,0
1480098267693713,0.125,0.1875,-0.0625
1480098267708753,0.0625,0.0625,0
1480098267731312,0,0.0625,-0.125
1480098267752369,-0.125,0.0625,0
1480098267768412,-0.3125,0.1875,0.125
1480098267796988,-0.125,0.375,0.0625
1480098267812027,0,0.375,0.125
1480098267828573,-0.125,0.4375,0.125
1480098267858651,-0.125,0.5,0.375
1480098267872188,0.125,0.1875,0.1875
1480098267888732,0.3125,0.375,-0.1875
1480098267911292,0.625,0.375,-0.125
1480098267932347,0.25,0.3125,0.125
1480098267948392,-0.125,0.125,0.1875
1480098267970951,-0.4375,0.125,0
1480098267992006,-0.375,0.25,0.1875
1480098268008552,0.125,0.25,0.1875
1480098268031149,0.0625,0.3125,0.0625
1480098268052706,0.1875,0.4375,-0.0625
1480098268068711,0,0.4375,0.25
1480098268091271,-0.5625,0.125,0.3125
1480098268112326,-0.5,0.125,0.125
1480098268135889,0,0.3125,-0.0625
1480098268150930,0.4375,0.3125,0.0625
1480098268171985,0.4375,0.125,0.25
1480098268188530,0.125,0.125,0.0625
1480098268211091,-0.4375,0.4375,0.0625
1480098268233650,-0.5,0.1875,0.125
1480098268248690,-0.4375,0.4375,0.0625
1480098268272252,-0.125,0.3125,-0.0625
1480098268294313,-0.0625,0.1875,-0.0625
1480098268307847,-0.0625,0,0
1480098268330908,0,0,0
1480098268353971,0.125,0,-0.0625
1480098268368018,0.0625,-0.125,-0.125
1480098268391068,0.125,-0.125,0
1480098268413628,-0.0625,-0.125,0
1480098268427665,0,0.125,-0.0625
1480098268452732,0,0.25,-0.0625
1480098268473788,0.0625,0.1875,0.0625
1480098268487825,-0.375,0.3125,0
1480098268510892,-0.1875,0.625,0.25
1480098268533447,-0.125,0.25,0
1480098268547987,0.5,0.0625,-0.3125
1480098268571047,0.625,0.3125,-0.25
1480098268593611,0.4375,0.1875,-0.125
1480098268614662,0,0.125,-0.125
1480098268631208,-0.5,-0.125,-0.1875
1480098268653767,-0.3125,0.0625,0.0625
1480098268674822,0.25,0.1875,0.125
1480098268690865,0.1875,0.1875,0
1480098268713425,-0.0625,0.125,-0.125
1480098268734481,0.0625,0.1875,0.125
1480098268757041,-0.125,0.0625,0.25
1480098268773585,-0.125,0,0
1480098268794641,0.1875,0.0625,0
1480098268811188,0.375,0.125,-0.0625
1480098268833745,0.375,0.125,0.0625
1480098268854801,0.3125,0.125,0
1480098268870844,-0.1875,0.125,-0.1875
1480098268900923,-0.375,0.25,-0.0625
1480098268915964,-0.5,0.1875,-0.0625
1480098268931004,-0.25,0.25,-0.125
1480098268953564,0,0.125,0.0625
1480098268974625,-0.125,0.125,0.0625
1480098268991664,-0.125,0.0625,0.0625
1480098269013723,0.0625,0.1875,0.0625
1480098269034780,-0.125,0.0625,0.0625
1480098269051324,-0.125,0.0625,0.0625
1480098269073383,-0.125,0.125,0.0625
1480098269095943,0.0625,0.0625,0.0625
1480098269110482,0.0625,0.0625,-0.125
1480098269133542,0.0625,0.125,-0.1875
1480098269156103,-0.1875,-0.0625,-0.125
1480098269171143,-0.25,-0.25,0.125
1480098269193704,-0.4375,0.0625,0.1875
1480098269216262,-0.0625,0.5,0.3125
1480098269231303,0.25,0.375,0.25
1480098269253361,0.25,0.4375,-0.0625
1480098269276422,0.0625,0.4375,-0.125
1480098269290461,-0.25,0.1875,0
1480098269313523,-0.4375,0,0
1480098269336081,-0.125,-0.4375,0
1480098269357137,0.5,-0.375,-0.0625
1480098269374183,0.6875,-0.1875,0.0625
1480098269396241,0.1875,-0.125,0
1480098269410782,-0.375,-0.125,-0.0625
1480098269433341,0.25,0.25,0
1480098269455899,-0.5625,0.125,0.3125
1480098269470439,-0.5,0,0
1480098269493502,-0.0625,0.125,-0.125
1480098269523580,0.1875,0.0625,0.125
1480098269530599,0.25,0,0.1875
1480098269553661,0.125,-0.0625,0.0625
1480098269576220,-0.125,-0.0625,-0.125
1480098269590257,-0.25,0.0625,0.0625
1480098269613318,-0.25,-0.125,-0.0625
1480098269636379,-0.5625,-0.1875,-0.125
1480098269656935,-0.3125,-0.3125,-0.125
1480098269673483,-0.0625,-0.375,0
1480098269696540,0.125,-0.375,-0.125
1480098269717094,0.25,-0.4375,-0.1875
1480098269733639,-0.1875,-0.25,0
1480098269756199,-0.25,-0.1875,0.0625
1480098269777254,-0.3125,-0.125,0
1480098269801318,-0.0625,-0.0625,-0.125
1480098269815857,0.0625,-0.125,-0.0625
1480098269836913,0.3125,-0.1875,0
1480098269859473,-0.0625,-0.25,-0.0625
1480098269876037,0,-0.25,-0.25
1480098269897092,0.5625,-0.25,-0.125
1480098269913636,0.25,-0.25,0.1875
1480098269942212,-0.125,0.375,0.1875
1480098269957252,0.1875,0.6875,0.4375
1480098269973295,0.3125,0.625,-0.0625
1480098269996858,0.625,0.625,-0.5
1480098270016912,0.25,0.4375,0
1480098270033455,-0.375,-0.0625,0.25
1480098270056017,-0.5625,-0.0625,0.0625
1480098270079078,-0.25,0,0.25
1480098270093615,0.5625,0.1875,0.5625
1480098270116175,0.625,0.1875,0.4375
1480098270138735,-0.0625,0.3125,0.25
1480098270154280,-0.4375,0.4375,0.125
1480098270175834,-0.5,0.375,0.25
1480098270198394,-0.75,0.1875,0.125
1480098270213434,-0.6875,0.125,0
1480098270235994,-0.125,0.0625,0.125
1480098270258553,0.4375,-0.1875,0.0625
1480098270272652,1.0625,-0.3125,0.125
1480098270296216,0.6875,-0.375,-0.125
1480098270326298,0.25,0.0625,-0.1875
1480098270332814,-0.25,0.375,-0.1875
1480098270355875,-0.5,0.1875,0.5
1480098270378436,-1.3125,-0.0625,-0.3125
1480098270392973,-0.3125,0.25,-0.5
1480098270416035,0.25,0.5625,-0.0625
1480098270445613,0.1875,0.4375,0.3125
1480098270454637,-0.4375,0,0.0625
1480098270476698,-0.625,0.0625,-0.0625
1480098270498759,-0.4375,0.375,0.125
1480098270512792,-0.1875,0.5,0.125
1480098270541870,-0.1875,0.625,0.0625
1480098270558412,0.0625,0.4375,-0.0625
1480098270579470,-0.125,0.1875,0.25
1480098270596012,-0.9375,0.25,0.1875
1480098270619084,-0.3125,0.5625,0.0625
1480098270639664,0.125,0.4375,0.4375
1480098270656172,0.125,0.4375,0
1480098270678734,0.4375,0.6875,-0.375
1480098270699818,-0.0625,0.5,-0.125
1480098270715832,-0.4375,0.5,0.1875
1480098270738391,-0.6875,0.375,0.125
1480098270759447,-0.875,0.375,0.0625
1480098270766466,-0.5625,0.4375,0.25
1480098270790530,-0.125,0.625,0.25
1480098270804066,-0.25,0.5,-0.125
1480098270826628,0.125,0.625,0.125
1480098270841665,-0.4375,0.375,0.25
1480098270871245,-0.5,0.0625,0.125
1480098270886284,-0.0625,0.0625,-0.0625
1480098270901325,0.1875,0.125,-0.0625
1480098270940429,0.3125,0.125,0.0625
1480098270946445,0.375,0.125,0.0625
1480098270961485,0.125,0,0.0625
1480098270984045,-0.125,0.125,-0.0625
1480098271006606,-0.3125,0.125,-0.125
1480098271021647,-0.4375,-0.0625,-0.1875
1480098271043705,-0.4375,-0.125,-0.0625
1480098271066264,-0.0625,-0.3125,-0.0625
1480098271081340,0,-0.3125,-0.125
1480098271103947,0.3125,-0.375,-0.0625
1480098271126424,0.1875,-0.3125,-0.0625
1480098271144474,0.125,-0.125,0.1875
1480098271164079,-0.1875,-0.0625,0
1480098271186583,-0.0625,-0.125,0.0625
1480098271201623,-0.125,0.125,0.0625
1480098271224184,-0.125,0.125,0.0625
1480098271246743,-0.125,0.125,0.25
1480098271261283,-0.3125,0.25,0.0625
1480098271283842,0,0.4375,0.25
1480098271307906,0.125,0.125,0.25
1480098271321443,0.125,0,0
1480098271344002,0.5625,0.125,-0.1875
1480098271369606,0.3125,0,-0.0625
1480098271383106,0.0625,-0.125,0
1480098271404161,-0.25,-0.1875,-0.0625
1480098271426724,-0.375,-0.125,0.0625
1480098271442765,-0.0625,0,0.125
1480098271463821,-0.0625,0,0.125
1480098271486417,-0.125,0.0625,-0.0625
1480098271502926,-0.1875,0.0625,0.0625
1480098271523981,-0.4375,0,0.1875
1480098271546540,-0.375,-0.1875,-0.0625
1480098271563084,-0.1875,0,-0.1875
1480098271584194,0.1875,-0.0625,-0.0625
1480098271606700,0.4375,0,0.0625
1480098271622743,0.0625,-0.0625,0
1480098271651320,-0.125,0,0
1480098271666360,-0.375,0,-0.125
1480098271684409,-0.625,0.125,-0.0625
1480098271711479,-0.5,0.0625,-0.1875
1480098271726526,-0.125,-0.0625,0
1480098271743071,0.1875,-0.25,-0.0625
1480098271765624,0.0625,-0.1875,0.0625
1480098271786679,-0.0625,-0.1875,-0.1875
1480098271804226,0.1875,-0.125,-0.125
1480098271825282,0.125,-0.125,0.0625
1480098271846339,0,-0.0625,0
1480098271864888,-0.0625,0,0
1480098271883976,-0.25,0.0625,0
1480098271906535,-0.0625,0.0625,0.0625
1480098271932066,-0.125,0.0625,0.125
1480098271947106,-0.375,0.1875,0.0625
1480098271966657,0.25,0.3125,0.3125
1480098271984705,0.1875,0,0
1480098272003756,0.5,0.0625,-0.25
1480098272026820,0.375,0,-0.1875
1480098272051885,0.25,-0.125,0.0625
1480098272063918,-0.1875,-0.25,-0.0625
1480098272086478,-0.5,-0.25,-0.0625
1480098272109037,-0.125,-0.125,0.125
1480098272124078,0.1875,0.125,0.125
1480098272146636,-0.125,-0.0625,-0.0625
1480098272177747,0,0.1875,0.0625
1480098272184237,-0.1875,0.0625,0.25
1480098272206319,-0.5625,-0.125,0.1875
1480098272228856,-0.1875,-0.125,0.0625
1480098272243935,0,0.1875,-0.125
1480098272269477,0.1875,0.0625,0
1480098272297543,0.125,-0.0625,0.125
1480098272304061,0.0625,0.0625,0.0625
1480098272329122,-0.0625,0.125,0
1480098272351180,-0.3125,0.1875,-0.0625
1480098272364228,-0.375,0.1875,-0.0625
1480098272387778,-0.4375,0.125,-0.0625
1480098272408835,-0.125,-0.0625,0
1480098272423911,-0.0625,-0.0625,0.0625
1480098272446470,0.125,-0.125,-0.125
1480098272468994,0.25,-0.0625,-0.125
1480098272487059,0,-0.25,-0.0625
1480098272506593,-0.125,-0.125,0
1480098272529153,-0.125,0,0.0625
1480098272544194,-0.1875,0,0
1480098272566254,0.3125,0.0625,0.0625
1480098272588812,-0.1875,0.1875,0.1875
1480098272606861,-0.1875,0.3125,0.0625
1480098272633932,0,0.125,0.375
1480098272648973,-0.1875,0.0625,0.0625
1480098272665517,0.4375,0.25,-0.3125
1480098272694092,0.5625,0.1875,-0.0625
1480098272709133,0.375,0.0625,0.0625
1480098272725676,-0.3125,-0.125,0
1480098272746231,-0.5,-0.125,0.0625
1480098272768791,-0.3125,0.125,0.25
1480098272785336,0.0625,0.125,0.0625
1480098272806392,0.0625,0.1875,-0.125
1480098272828951,0.0625,0.125,0.0625
1480098272845527,-0.4375,0,0.3125
1480098272866551,-0.625,-0.125,-0.0625
1480098272889115,-0.0625,0.125,-0.125
1480098272905658,0.125,0.125,0
1480098272926711,0.125,0.0625,0.125
1480098272948770,0.0625,0.125,0.1875
1480098272967821,0.0625,0.125,0.0625
1480098273002954,0,0.1875,0.125
1480098273008931,-0.4375,0.25,0.0625
1480098273031491,-0.6875,0.1875,0.0625
1480098273046530,-0.1875,0.125,0.0625
1480098273069112,-0.125,0.0625,0.0625
1480098273087139,0.125,-0.125,0.0625
1480098273114210,0.125,-0.0625,-0.125
1480098273128786,-0.0625,-0.1875,-0.0625
1480098273146796,-0.25,-0.125,-0.0625
1480098273166348,-0.0625,-0.1875,0
1480098273190413,-0.1875,0,0
1480098273220500,0.125,0,0
1480098273226509,-0.0625,-0.0625,0.125
1480098273249084,-0.0625,0.0625,0
1480098273267116,0.0625,-0.0625,0.125
1480098273286669,0.3125,-0.125,-0.0625
1480098273311736,0.3125,0,-0.3125
1480098273326776,0.4375,0,-0.125
1480098273346328,0.3125,-0.125,0.0625
1480098273368888,-0.1875,-0.1875,-0.125
1480098273386936,-0.375,-0.125,-0.0625
1480098273409496,-0.125,-0.0625,0.0625
1480098273436568,0.0625,0.0625,-0.0625
1480098273447097,-0.25,-0.125,-0.25
1480098273468152,0.3125,-0.0625,-0.125
1480098273488707,0,-0.1875,0.1875
1480098273506755,-0.375,-0.375,0
1480098273527811,0.125,-0.375,-0.1875
1480098273548865,0.25,-0.25,-0.25
1480098273579484,0.75,-0.1875,0.0625
1480098273593987,0.4375,-0.125,-0.125
1480098273616547,-0.1875,-0.0625,-0.1875
1480098273631587,-0.375,-0.0625,0
1480098273648129,-0.4375,0.0625,-0.0625
1480098273669186,-0.3125,0.0625,-0.1875
1480098273691244,-0.125,0,-0.1875
1480098273715308,0.0625,-0.0625,0
1480098273736364,0.125,-0.375,-0.125
1480098273751404,0.125,-0.1875,-0.125
1480098273767949,0,-0.1875,-0.125
1480098273789008,-0.0625,-0.3125,-0.1875
1480098273811607,0.0625,-0.1875,-0.0625
1480098273829617,-0.0625,-0.0625,0
1480098273849168,0.0625,-0.125,0
1480098273871729,0,-0.1875,0.0625
1480098273889279,-0.3125,0.0625,-0.0625
1480098273908827,0.125,0.125,0.0625
1480098273931387,0,-0.125,0.0625
1480098273949436,0.4375,-0.1875,-0.375
1480098273969025,0.6875,0,-0.25
1480098273991548,0.3125,0.0625,0.0625
1480098274009598,0,-0.125,0
1480098274028646,-0.75,-0.25,0
1480098274051206,-0.25,-0.25,0.125
1480098274069254,0.1875,0,0.125
1480098274090311,0.0625,0,0
1480098274111367,0.125,0,-0.0625
1480098274129414,0,-0.0625,0.0625
1480098274148966,-0.3125,-0.25,0.1875
1480098274171527,-0.1875,-0.3125,-0.125
1480098274189073,0.25,-0.125,-0.125
1480098274209129,0.5625,-0.1875,-0.125
1480098274231186,0.375,-0.25,-0.0625
1480098274249233,0.1875,-0.125,-0.125
1480098274268785,-0.1875,-0.0625,0
1480098274291346,-0.3125,0,-0.125
1480098274309397,-0.375,-0.125,-0.1875
1480098274328945,-0.0625,-0.125,-0.125
1480098274359026,0.0625,-0.125,0
1480098274369553,0.25,-0.1875,-0.1875
1480098274391612,0.125,-0.3125,-0.125
1480098274411665,0,-0.125,-0.1875
1480098274429212,0.0625,-0.3125,-0.125
